,REGION.name,ETH.group,F10.11,F11.12,F12.13,F13.14,F14.15,F15.16,F16.17,F17.18,F18.19,F19.20,F20.21,F21.22,F22.23,F23.24,F24.25,F25.26,F26.27,F27.28,F28.29,F29.30,F30.31,F31.32,F32.33,F33.34,F34.35,F35.36,F36.37,F37.38,F38.39,F39.40,F40.41,F41.42,F42.43,F43.44,F44.45,F45.46,F46.47,F47.48,F48.49,F49.50,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,F50.51,F51.52,F52.53,F53.54,F54.55,F55.56,F56.57,F57.58,F58.59,F59.60,F60.61,F61.62,F62.63,F63.64,F64.65,F65.66,F66.67,F67.68,F68.69,F69.70,F70.71,F71.72,F72.73,F73.74,F74.75,F75.76,F76.77,F77.78,F78.79,F79.80,F80.81,F81.82,F82.83,F83.84,F84.85,F85.86,F86.87,F87.88,F88.89,F89.90,F90.91,F91.92,F92.93,F93.94,F94.95,F95.96,F96.97,F97.98,F98.99,F99.100,F100.101p
0,East Midlands,BAN,0.0011224537789558,0.004329080594794525,0.014810019634476776,0.02591158745184317,0.04109696788668198,0.06001539413306952,0.08172060217548527,0.10484016648822322,0.13152487353423875,0.15695345415161516,0.1797655980000088,0.19895053960061707,0.21018456578952743,0.2157170141812193,0.21659255502792898,0.21326845491799543,0.2063647039874744,0.1974146865974908,0.1821147988935801,0.1656471104176889,0.14861511336826713,0.13152971437664862,0.1189674489901077,0.10320699814470706,0.08841753509217422,0.07472359453736455,0.062190479442833846,0.054359037050156725,0.04640771542920631,0.039307162996282376,0.03301416317201178,0.027474812525598767,0.023488555580835676,0.020010991950973882,0.016993461418684196,0.014387900824518702,0.013125322424779476,0.01106388057980805,0.009303355907031751,0.007729511331820827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,East Midlands,BLA,0.0004431334189960749,0.001995791734409775,0.007741726878243452,0.01428344169244975,0.0237431562437667,0.03615089197565678,0.05109226840089082,0.06776389477892245,0.08765839870379967,0.10742970116965067,0.12595703293405797,0.1423105152783372,0.15327583471537384,0.16004765870326182,0.1632219902631091,0.1629980921551133,0.15974490641167555,0.1545720055390481,0.1440163853812788,0.13219675295498975,0.11960808769099532,0.10668812969333345,0.09714797633607967,0.08476049013706641,0.07299721815483555,0.06199246944753052,0.05183085158493589,0.04547230728317226,0.03894534172540775,0.03308019409343332,0.02785407016909285,0.02323196644505267,0.019895227529608598,0.016973233366787722,0.014429361212396099,0.012226675307332301,0.011158355427556327,0.0094096454768734,0.007913434218353475,0.0065745651200738746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,East Midlands,BLC,0.0002932794080309749,0.0013224304557437501,0.005128379961134851,0.00946112496571705,0.015726821849987603,0.023945232605307776,0.033841980597992725,0.04488463768397034,0.058062106381720026,0.07115793443357257,0.0834297266054002,0.09426165310261267,0.10152447823868076,0.10600985255624333,0.10811249451113118,0.10796439775804559,0.10580970164864967,0.10238346455775342,0.09539183692493844,0.08756268321511831,0.07922459368756671,0.07066674025643928,0.06434756128480974,0.05614264919098958,0.048350783265248574,0.041061624528156426,0.03433093572849499,0.030119457121242994,0.02579632876817713,0.021911564268120173,0.018449915982593053,0.0153882904381026,0.01317799934114445,0.011242484000700301,0.009557362308745977,0.008098464175588353,0.0073909590062311015,0.0062324908475953015,0.005241658515721474,0.004354856511416825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,East Midlands,CHI,1.0377969196510151e-06,1.5566953794765214e-05,0.00020288929779174476,0.0006024411118574002,0.001508178373482825,0.0032742492814989504,0.006302540693040625,0.010943049619260074,0.01804154290069642,0.027100334651394574,0.03777133136303181,0.0494397327364048,0.06065855322406734,0.07067093925683794,0.07905016167518127,0.08524199863579107,0.08893402440486366,0.09041504389064092,0.08735077509752173,0.0823332131239399,0.07578748320676577,0.06817122873470166,0.062079373190618035,0.05380528196811041,0.045715564701946994,0.038035249885647875,0.030921913350544346,0.02628342649479425,0.0217302953061242,0.017728096127263206,0.0142628984340528,0.011302758667631278,0.009179332898588875,0.007401207592259373,0.00592765794323995,0.004717767949857898,0.00413978162716615,0.003263847784506924,0.002559735656036375,0.001959379369813325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,East Midlands,IND,1.0024356792904934e-05,0.0001253044599113091,0.00105255746325505,0.0026379721422828744,0.005709184454709125,0.010928428471165097,0.018845477509511575,0.029714386362218743,0.044880644163246226,0.06260468548383681,0.08187110634764767,0.10142492156134916,0.11845363243566491,0.13230175442472164,0.1427010466724839,0.14917732449961368,0.1516233674057281,0.15086571759009362,0.1433223561258434,0.13327501000057018,0.12140808257690587,0.10839352225100149,0.09828224485225281,0.08503553621985574,0.0722907815133828,0.06031678845265324,0.04929326967069516,0.04218566102590775,0.03516672944592239,0.028977199299034934,0.023587159792554775,0.018946893363175905,0.015609903313848494,0.0127836298856439,0.010410761892119225,0.008434219240325799,0.007485888573260349,0.006017366451829701,0.004816296533798501,0.0037779164353466004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,East Midlands,MIX,1.0476841202790325e-06,1.8509086124929567e-05,0.00024044350560409843,0.0007142586490002749,0.0017881348722861995,0.0038821935076939007,0.007472868908920324,0.012975305908625775,0.021392156698857846,0.03213361474488114,0.0447866771700704,0.05862186316975958,0.07192406872305182,0.08379559747160335,0.09373086894751605,0.10107247195936117,0.10545013837911306,0.10720634000328244,0.10357285283740851,0.09762357950366084,0.0898620993062944,0.08083125836574676,0.07360792138999532,0.0637971440007103,0.05420500174856442,0.04509833279491064,0.03666417424219368,0.031164272017016825,0.025765847993378842,0.021020460574683167,0.016911609078703198,0.013401809131414802,0.010884084154672152,0.0087757500607622,0.007028552384476224,0.005594043642744248,0.00490857287962925,0.0038698794311847,0.003035012843782751,0.002323162973020175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,East Midlands,OAS,1.466530522567749e-06,2.590870589869688e-05,0.00033656875492932487,0.0009998071837605254,0.0025030009693925,0.005434228851374776,0.010460395584845175,0.018162613889371078,0.029944379355555845,0.04498009076557372,0.06269163367371021,0.08205789318000323,0.10067809566639536,0.11729566094423365,0.13120288602037772,0.1414795378212839,0.1476073212799817,0.15006562262842768,0.1449795287104505,0.13665183645840445,0.12578744767038735,0.11314622917006294,0.10303512416743055,0.08930216380942521,0.07587524522079811,0.06312788394944822,0.05132189136989006,0.04362322119990406,0.03606659850114673,0.029424085403713725,0.02367258453153497,0.018759625891449326,0.01523535702609625,0.012284146598600675,0.0098384488242081,0.007830447735024976,0.006870937347324973,0.005416991815221849,0.004248359677921899,0.0032519242612228253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,East Midlands,OBL,8.653517569954727e-07,1.528788104025337e-05,0.00019859822823046434,0.0005899535603316748,0.0014769391112520254,0.0032065609355467497,0.006172337744709501,0.010717165172449701,0.0176692001214535,0.026541282281431,0.036992285202134705,0.04841968233592113,0.05940685559229397,0.06921233804825153,0.07741853728473354,0.08348245382455018,0.08709825867884495,0.08854882200389431,0.08554768412068187,0.08063378494768125,0.07422306401025994,0.06676389389993309,0.060797661118174084,0.05269428979949088,0.04477150373203147,0.03724970223968712,0.030283371662462887,0.0257406378730146,0.021281721656342723,0.017362191655927374,0.013968418864627677,0.011069442453417202,0.0089898865165806,0.007248473644910448,0.00580534727721305,0.004620491426050101,0.004054315688774825,0.003196389923562525,0.0025068182728318748,0.0019188542821040246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,East Midlands,OTH,1.24331359563896e-06,2.1965206856288287e-05,0.000285340470199075,0.000847629043826875,0.0021220254793568004,0.004607098528640175,0.0088682450492939,0.015398128053589654,0.025386620593853576,0.03813378413972213,0.05314949759304473,0.06956806738775148,0.08535413562746827,0.09944238303753856,0.11123282431966489,0.11994529276481032,0.12514038169619582,0.12722451117162528,0.122912558832682,0.11585240369923319,0.10664165623739486,0.09592452585037975,0.08735240674119485,0.07570970578221065,0.06432646474366197,0.0535193473101694,0.04351031520460039,0.03698344028219909,0.03057699214225255,0.02494551927744767,0.02006943990530568,0.015904270358520423,0.012916421604231575,0.0104144075024914,0.00834096324276885,0.00663859495528985,0.005825129233420477,0.004592485098460775,0.0036017275231859996,0.0027569570382261007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,East Midlands,PAK,0.0010352894734868999,0.003992655422252975,0.013661302558450597,0.02390242408063833,0.03791054068552891,0.05536182714347463,0.07538429385199845,0.09671157409295682,0.12132756316094928,0.14478518411845537,0.16582894435568146,0.18352634039323862,0.19388938633756048,0.1989926692664349,0.1997998185529436,0.1967336235355961,0.19036491391578206,0.18210858575895236,0.1679951957058036,0.15280411269007743,0.13709263877515165,0.12133187175211083,0.10974335155202006,0.09520471295704133,0.0815620850908773,0.06893004321082971,0.05736877162374036,0.05014473302483138,0.04281003837378045,0.03625982823727676,0.030454707069188874,0.025344773281978948,0.02166749202649952,0.018459775815614626,0.015676429013781672,0.013272842941764503,0.012108125979068676,0.0102063875484615,0.008582083798369024,0.007130345202164849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
