"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"35",130.151579736516,125.170900641032,135.132258832001,122.534288393618,137.768871079415
"36",135.875129001838,126.733011685163,145.017246318513,121.893467112557,149.856790891119
"37",137.227839124675,125.320437081067,149.135241168283,119.017039198733,155.438639050617
"38",136.76833711872,121.606624719537,151.930049517903,113.580498997103,159.956175240337
"39",137.393104672627,119.107101096876,155.679108248379,109.427075530122,165.359133815133
"40",136.743106746758,115.791057078513,157.695156415002,104.699711961779,168.786501531736
"41",135.361451324759,111.902802462889,158.820100186629,99.4845438858471,171.238358763671
"42",134.14590252844,108.407587175131,159.884217881749,94.7825460537572,173.509259003123
"43",132.541832265742,104.807622178131,160.276042353354,90.1260182065658,174.957646324919
"44",130.690555706435,101.172330380413,160.208781032458,85.5463257885729,175.834785624298
"45",128.870874773967,97.7731265549332,159.968622993,81.31097305148,176.430776496453
"46",126.967748585447,94.4912090101975,159.444288160697,77.2991674519759,176.636329718919
"47",125.02516375102,91.3412590209212,158.709068481118,73.5100769572892,176.54025054475
"48",123.132739018975,88.3962167406373,157.869261297313,70.0078126062143,176.257665431736
"49",121.272177151732,85.6238924930526,156.920461810412,66.7528305096385,175.791523793826
"50",119.459034036882,83.0218262636153,155.896241810148,63.7331336105053,175.184934463258
"51",117.721959658753,80.604123248544,154.839796068961,60.9551275593021,174.488791758203
"52",116.059403518123,78.3565498670111,153.762257169236,58.3978647573619,173.720942278885
"53",114.47584683591,76.2711182997859,152.680575372033,56.0467566743197,172.904936997499
"54",112.97890204047,74.3446264994047,151.613177581534,53.892876425023,172.064927655916
"55",111.567415526244,72.5664397068047,150.568391345684,51.9205702309203,171.214260821568
"56",110.240762045113,70.9273358183514,149.554188271875,50.1160650879669,170.365459002259
"57",108.998841370391,69.4197063147006,148.577976426081,48.4677778267759,169.529904914006
"58",107.838920626768,68.0342722991257,147.643568954409,46.9629642962023,168.714876957333
"59",106.758058292328,66.7623373375325,146.753779247123,45.5898815956683,167.926234988988
"60",105.753346873543,65.5960001756961,145.91069357139,44.3379849337202,167.168708813365
"61",104.821119688,64.527275278466,145.114964097533,43.1970025126709,166.445236863328
"62",103.957606653558,63.5486543697609,144.366558937355,42.157447176102,165.757766131014
"63",103.159082123565,62.6531946450929,143.664969602038,41.2106730590414,165.107491188089
"64",102.421683725431,61.8342731801954,143.009094270666,40.3485958894392,164.494771561422
"65",101.741599473911,61.0857122827334,142.397486665088,39.5637856452734,163.919413302548
"66",101.115135557143,60.4017973791331,141.828473735153,38.8494580263375,163.380813087949
"67",100.538680738651,59.7771952699466,141.300166207356,38.1993682810494,162.877993196253
"68",100.008761080345,59.2069671687346,140.810554991955,37.6078021790945,162.409719981595
"69",99.5220653212327,58.6865584886686,140.357572153797,37.0695469567039,161.974583685761
"70",99.0754374841406,58.2117599971384,139.939114971143,36.579835821519,161.571039146762
"71",98.6658902275701,57.7786935537343,139.553086901406,36.1343190726714,161.197461382469
"72",98.2906102303032,57.3837937361729,139.197426724433,35.7290331496234,160.852187310983
"73",97.946952986077,57.0237820398949,138.870123932259,35.3603639293908,160.533542042763
"74",97.6324418141303,56.6956480924701,138.56923553579,35.0250185202394,160.239865108021
