"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"34",219.511559315258,203.610422603872,235.412696026644,195.192869294915,243.830249335601
"35",183.371413751896,150.067599219853,216.675228283939,132.437624753037,234.305202750755
"36",141.604851570912,102.102570082568,181.107133059256,81.1913254156725,202.018377726152
"37",139.946342663285,98.9009027376842,180.991782588886,77.1727593392355,202.719925987335
"38",158.100994014035,115.804398983765,200.397589044305,93.4139340807291,222.788053947341
"39",161.692750173758,117.028589472457,206.356910875058,93.3848110101407,230.000689337375
"40",149.8668833223,102.646035202165,197.087731442435,77.6488281747721,222.084938469828
"41",140.283973407477,91.4172654042421,189.150681410712,65.5487927839217,215.019154031033
"42",139.964697779664,90.0504434119628,189.878952147366,63.6274332433812,216.301962315947
"43",142.013376722534,91.1181052648493,192.908648180219,64.1757760185304,219.850977426538
"44",140.171117253291,88.2296547459898,192.112579760592,60.7335054117526,219.608729094829
"45",135.806843621797,82.9251378784061,188.688549365188,54.931253840869,216.682433402726
"46",132.748239840244,79.1299208390716,186.366558841417,50.7460972973342,214.750382383154
"47",131.656126079353,77.4349263161144,185.877325842591,48.7319569770832,214.580295181622
"48",130.724395098698,75.9533035703976,185.495486626999,46.9592391146723,214.489551082724
