"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"35",179.028131178709,167.098756742183,190.957505615236,160.783727377642,197.272534979776
"36",193.190721312145,170.849075772547,215.532366851743,159.022123036224,227.359319588067
"37",215.639011938525,189.654454930245,241.623568946805,175.899061350728,255.378962526322
"38",200.502226560807,170.874887452358,230.129565669257,155.191121513201,245.813331608414
"39",186.434418720917,150.668386091024,222.200451350809,131.734992096843,241.13384534499
"40",198.879373518712,158.530169922546,239.228577114879,137.170591773552,260.588155263873
"41",200.249316944938,157.319171392893,243.179462496983,134.593325102492,265.905308787384
"42",184.535823640819,138.562079546106,230.509567735532,114.225049511487,254.846597770151
"43",181.6681994062,132.354056010036,230.982342802364,106.248725400211,257.087673412189
"44",187.493987267806,136.005874713179,238.982099822432,108.749714347247,266.238260188364
"45",180.785784757514,127.632974351242,233.938595163787,99.4955761742104,262.075993340818
"46",171.575394879996,116.50286837879,226.647921381201,87.3492338873077,255.801555872683
"47",172.685224851842,115.957446398013,229.41300330567,85.9275744523259,259.442875251358
"48",172.721020163466,114.874906782143,230.567133544788,84.2530240865133,261.189016240418
"49",165.598988555647,106.710498747532,224.487478363761,75.536815303328,255.661161807966
"50",161.827896542816,101.868506153018,221.787286932615,70.1279221847482,253.527870900885
"51",162.700717975757,101.926293952912,223.475141998602,69.7542572414021,255.647178710112
"52",159.935926658916,98.5382763903209,221.333576927512,66.0363236330365,253.835529684796
"53",155.130356654061,93.1107301926383,217.149983115484,60.2795231276238,249.981190180498
"54",154.005761066775,91.4247077186738,216.586814414877,58.2962992124368,249.715222921114
"55",153.566846963601,90.5670842880855,216.566609639117,57.2170244528624,249.91666947434
"56",150.437321414011,87.0758212245586,213.798821603463,53.5342691166337,247.340373711388
"57",147.903424248412,84.1902612273246,211.6165872695,50.4625500613524,245.344298435472
"58",147.464647695255,83.4619105780503,211.46738481246,49.5809081452207,245.34838724529
"59",146.169985972836,81.9401663724733,210.399805573198,47.9389537344111,244.40101821126
"60",143.797676899015,79.3580990598088,208.237254738222,45.2458471174811,242.34950668055
"61",142.619215869099,77.9887664938916,207.249665244306,43.775473263849,241.462958474349
"62",142.080285109785,77.2979766316357,206.862593587934,43.0042940484504,241.156276171119
"63",140.633767329752,75.7236843024653,205.543850357039,41.3623619587763,239.905172700728
"64",139.165388071344,74.136483367625,204.194292775063,39.7122606279591,238.618515514729
"65",138.549690892375,73.4190755101561,203.680306274594,38.9410103896655,238.158371395084
"66",137.837786889252,72.6250895670728,203.05048421143,38.1035728922778,237.572000886225
"67",136.657610804317,71.3722571525365,201.942964456097,36.812278540161,236.502943068472
"68",135.828008375001,70.4770513798847,201.178965370117,35.8823444553263,235.773672294675
"69",135.364257780848,69.9589544844281,200.769561077268,35.3354783657753,235.393037195921
"70",134.637812536767,69.1869983677869,200.088626705747,34.5394302484889,234.736194825045
"71",133.824850845334,68.3330643183179,199.316637372349,33.663806742837,233.98589494783
"72",133.335185631648,67.8077526143335,198.862618648963,33.1196249267459,233.550746336551
"73",132.901841189783,67.3449392468403,198.458743132725,32.6412116523447,233.162470727221
"74",132.293556694025,66.7111249601016,197.875988427949,31.9938827106191,232.593230677432
