"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"34",219.121497247805,203.229434643082,235.013559852528,194.816684876032,243.426309619577
"35",182.451312523042,149.193736188974,215.70888885711,131.58823874562,233.314386300464
"36",141.886111762783,102.411252878657,181.360970646908,81.5145248615497,202.257698664016
"37",144.768158465832,103.677123701649,185.859193230016,81.9248438536272,207.611473078038
"38",164.546417985418,121.916690499278,207.176145471558,99.349875926585,229.742960044251
"39",163.105937158328,117.607731679403,208.604142637253,93.5224365818207,232.689437734835
"40",147.217791818152,99.0572278791653,195.378355757139,73.5625653462935,220.873018290011
"41",139.455260027512,89.806384427193,189.104135627831,63.5238572921235,215.386662762901
"42",142.567949918063,91.9244740122782,193.211425823848,65.1154372795416,220.020462556584
"43",144.182174150389,92.4536630249003,195.910685275878,65.0702433427096,223.294104958069
"44",139.465004742055,86.5985196877957,192.331489796315,58.6126929963771,220.317316487734
"45",134.080960869622,80.3126553668299,187.849266372413,51.8494337672102,216.312487972033
"46",132.340141860386,77.9107554509864,186.769528269786,49.0975787586013,215.582704962171
"47",132.159163271125,77.1538341903894,187.164492351861,48.0357718645513,216.2825546777
"48",130.508839707117,74.9481578262017,186.069521588032,45.5361094863047,215.481569927929
