Date,CPI
199601,65.0943396226415
199602,65.377358490566
199603,65.6603773584906
199604,65.9433962264151
199605,66.1320754716981
199606,66.2264150943396
199607,65.6603773584906
199608,66.0377358490566
199609,66.4150943396227
199610,66.4150943396227
199611,66.4150943396227
199612,66.6981132075472
199701,66.3207547169811
199702,66.5094339622642
199703,66.6037735849057
199704,66.7924528301887
199705,66.9811320754717
199706,67.1698113207547
199707,66.8867924528302
199708,67.2641509433962
199709,67.5471698113208
199710,67.5471698113208
199711,67.6415094339623
199712,67.6415094339623
199801,67.1698113207547
199802,67.4528301886793
199803,67.6415094339623
199804,67.8301886792453
199805,68.2075471698113
199806,68.1132075471698
199807,67.7358490566038
199808,68.0188679245283
199809,68.3018867924528
199810,68.3018867924528
199811,68.3018867924528
199812,68.5849056603774
199901,68.1132075471698
199902,68.2075471698113
199903,68.5849056603774
199904,68.7735849056604
199905,69.0566037735849
199906,68.9622641509434
199907,68.4905660377359
199908,68.6792452830189
199909,68.9622641509434
199910,68.8679245283019
199911,68.9622641509434
199912,69.2452830188679
200001,68.4905660377359
200002,68.6792452830189
200003,68.8679245283019
200004,69.1509433962264
200005,69.3396226415094
200006,69.4339622641509
200007,69.0566037735849
200008,69.0566037735849
200009,69.622641509434
200010,69.622641509434
200011,69.7169811320755
200012,69.7169811320755
200101,69.0566037735849
200102,69.2452830188679
200103,69.5283018867925
200104,69.811320754717
200105,70.377358490566
200106,70.5660377358491
200107,70
200108,70.2830188679245
200109,70.4716981132076
200110,70.2830188679245
200111,70.188679245283
200112,70.377358490566
200201,70.0943396226415
200202,70.188679245283
200203,70.4716981132076
200204,70.7547169811321
200205,70.8490566037736
200206,70.8490566037736
200207,70.6603773584906
200208,70.8490566037736
200209,71.0377358490566
200210,71.2264150943396
200211,71.2264150943396
200212,71.5094339622641
200301,70.9433962264151
200302,71.2264150943396
200303,71.5094339622641
200304,71.6981132075472
200305,71.6981132075472
200306,71.6037735849057
200307,71.5094339622641
200308,71.7924528301887
200309,72.0754716981132
200310,72.1698113207547
200311,72.0754716981132
200312,72.3584905660377
200401,71.9811320754717
200402,72.0754716981132
200403,72.2641509433962
200404,72.4528301886793
200405,72.7358490566038
200406,72.6415094339623
200407,72.4528301886793
200408,72.6415094339623
200409,72.7358490566038
200410,72.9245283018868
200411,73.0188679245283
200412,73.4905660377359
200501,73.0188679245283
200502,73.2075471698113
200503,73.5849056603774
200504,73.6792452830189
200505,73.9622641509434
200506,73.9622641509434
200507,74.0566037735849
200508,74.3396226415094
200509,74.4339622641509
200510,74.5283018867925
200511,74.5283018867925
200512,74.7169811320755
200601,74.3396226415094
200602,74.622641509434
200603,74.811320754717
200604,75.188679245283
200605,75.5660377358491
200606,75.8490566037736
200607,75.7547169811321
200608,76.1320754716981
200609,76.1320754716981
200610,76.3207547169811
200611,76.5094339622642
200612,76.9811320754717
200701,76.3207547169811
200702,76.6037735849057
200703,76.9811320754717
200704,77.1698113207547
200705,77.3584905660377
200706,77.5471698113208
200707,76.9811320754717
200708,77.3584905660377
200709,77.3584905660377
200710,77.7358490566038
200711,78.0188679245283
200712,78.4905660377359
200801,77.8301886792453
200802,78.3962264150943
200803,78.7735849056604
200804,79.3396226415094
200805,79.9056603773585
200806,80.4716981132076
200807,80.4716981132076
200808,81.0377358490566
200809,81.4150943396226
200810,81.2264150943396
200811,81.1320754716981
200812,80.7547169811321
200901,80.0943396226415
200902,80.8490566037736
200903,81.0377358490566
200904,81.1320754716981
200905,81.6037735849057
200906,81.8867924528302
200907,81.7924528301887
200908,82.1698113207547
200909,82.2641509433962
200910,82.3584905660377
200911,82.6415094339623
200912,83.1132075471698
201001,83.0188679245283
201002,83.3018867924528
201003,83.8679245283019
201004,84.3396226415094
201005,84.5283018867925
201006,84.622641509434
201007,84.4339622641509
201008,84.9056603773585
201009,84.811320754717
201010,85.0943396226415
201011,85.377358490566
201012,86.3207547169811
201101,86.4150943396226
201102,87.0754716981132
201103,87.3584905660377
201104,88.2075471698113
201105,88.3962264150943
201106,88.3018867924528
201107,88.2075471698113
201108,88.7735849056604
201109,89.3396226415094
201110,89.4339622641509
201111,89.622641509434
201112,90
201201,89.4339622641509
201202,90.0943396226415
201203,90.377358490566
201204,90.7547169811321
201205,90.7547169811321
201206,90.2830188679245
201207,90.377358490566
201208,90.8490566037736
201209,91.2264150943396
201210,91.6981132075472
201211,91.8867924528302
201212,92.3584905660377
201301,91.8867924528302
201302,92.5471698113208
201303,92.9245283018868
201304,93.0188679245283
201305,93.2075471698113
201306,93.0188679245283
201307,92.9245283018868
201308,93.3962264150943
201309,93.6792452830189
201310,93.7735849056604
201311,93.8679245283019
201312,94.2452830188679
201401,93.5849056603774
201402,94.1509433962264
201403,94.3396226415094
201404,94.622641509434
201405,94.5283018867925
201406,94.7169811320755
201407,94.3396226415094
201408,94.7169811320755
201409,94.811320754717
201410,94.9056603773585
201411,94.622641509434
201412,94.622641509434
201501,93.6792452830189
201502,93.9622641509434
201503,94.1509433962264
201504,94.3396226415094
201505,94.5283018867925
201506,94.5283018867925
201507,94.3396226415094
201508,94.5283018867925
201509,94.4339622641509
201510,94.5283018867925
201511,94.5283018867925
201512,94.622641509434
201601,93.7735849056604
201602,94.0566037735849
201603,94.4339622641509
201604,94.4339622641509
201605,94.622641509434
201606,94.811320754717
201607,94.811320754717
201608,95.0943396226415
201609,95.377358490566
201610,95.377358490566
201611,95.6603773584906
201612,96.1320754716981
201701,95.5660377358491
201702,96.3207547169811
201703,96.6981132075472
201704,97.1698113207547
201705,97.5471698113208
