"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01004797",64.9390243902439,10.7445805843544,4.85249568190992,74.1514360313316,92.7765237020316,70.9511568123393,63.6246786632391,4.65178248303812,2,1,"YES"
"E01004798",67.2340425531915,9.52,3.27407605862597,74.5454545454545,93.3198380566802,68.3982683982684,65.4761904761905,5.85283198366692,5,1,"YES"
"E01004799",74.6641074856046,3.86029411764706,3.89785555102729,79.7900262467192,92.2222222222222,67.2645739910314,78.8116591928251,6.81002503820195,5,3,"YES"
"E01004800",75.6055363321799,4.3043043043043,3.72705882352941,79.2941176470588,91.1157024793389,79.089790897909,76.1377613776138,6.22730680981494,5,3,"YES"
"E01004801",59.1044776119403,11.3673805601318,3.73874101720561,66.579634464752,93.3014354066986,64.6135265700483,61.7149758454106,5.72237496171167,5,1,"YES"
"E01004802",58.0853816300129,12.5621007806955,4.16646771599265,68.7645687645688,90.2748414376321,64.1821946169772,62.8364389233954,4.53744444444444,2,1,"YES"
"E01004803",78.9106145251397,3.42084327764519,3.86539130855879,87.8846153846154,90.6793048973144,85.5907780979827,78.6743515850144,7.25018933212842,1,3,"YES"
"E01004804",78.3582089552239,3.82424735557364,4.38535906403767,82.9218106995885,89.3039049235993,79.839518555667,80.9428284854564,10.3300252761528,2,2,"YES"
"E01004805",77.5631500742942,3.77073906485671,4.67001294503984,79.2415169660679,87.5420875420875,81.5543071161049,81.3670411985019,10.4752314814815,2,2,"YES"
"E01004806",75.1543209876543,4.14386239249414,4.24571783994603,83.3718244803695,90.9090909090909,75.4195459032576,78.2823297137216,7.66129166666667,2,3,"YES"
"E01004807",82.184655396619,5.05569837189374,3.90509537116486,85.5902777777778,91.1585365853659,85.3065539112051,77.4841437632135,6.84638135003479,2,3,"YES"
"E01004808",81.0991957104558,3.6547433903577,4.40635261521529,85.3260869565217,91.0029498525074,87.1652816251154,78.8550323176362,8.6557264957265,2,2,"YES"
"E01004809",73.9485981308411,6.25,3.46930069146031,82.7645051194539,91.7159763313609,73.7972508591065,72.3367697594502,5.77013157894737,2,3,"YES"
"E01004810",80.484693877551,4.08781226343679,4.19463087248322,85.5614973262032,92.4471299093656,83.3333333333333,79.7020484171322,7.76027777777778,2,3,"YES"
"E01004811",55.8103975535168,12.4229074889868,4.06978677857022,77.491961414791,92.3287671232877,59.6153846153846,66.025641025641,3.40828431372549,0,1,"YES"
"E01004812",56.8874868559411,12.3315363881402,4.61275321381306,70.9677419354839,86.8613138686131,68.9784442361762,65.979381443299,4.69049295774648,1,5,"YES"
"E01004813",62.258064516129,9.47176684881603,4.25799328289424,73.9376770538244,90.0966183574879,64.9432534678436,71.2484237074401,5.23905854671568,1,1,"YES"
"E01004814",64.6153846153846,9.77508650519031,3.93197587579569,78.3783783783784,90,72.189349112426,70.0591715976331,4.64460784313725,1,4,"YES"
"E01004815",62.1968616262482,10.9185441941075,4.1924992750199,76.5027322404372,88.7387387387387,61.3396004700353,68.2726204465335,5.34044783961358,0,1,"YES"
