Area,Increase,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,Band I,notes
Mid Sussex,4.91%,"£1,317.29 ","£1,536.84 ","£1,756.39 ","£1,975.94 ","£2,415.04 ","£2,854.13 ","£3,293.23 ","£3,951.88 ",,
Middlesbrough,2.62%,"£1,402.49 ","£1,636.23 ","£1,869.98 ","£2,103.73 ","£2,571.23 ","£3,038.72 ","£3,506.22 ","£4,207.46 ",,
Milton Keynes,3.27%,"£1,246.12 ","£1,453.81 ","£1,661.49 ","£1,869.18 ","£2,284.55 ","£2,699.93 ","£3,115.30 ","£3,738.36 ",,
Mole Valley,2.93%,"£1,354.41 ","£1,580.15 ","£1,805.88 ","£2,031.62 ","£2,483.09 ","£2,934.56 ","£3,386.03 ","£4,063.24 ",,
New Forest,4.77%,"£1,282.60 ","£1,496.37 ","£1,710.13 ","£1,923.90 ","£2,351.43 ","£2,778.97 ","£3,206.50 ","£3,847.80 ",,
Newark & Sherwood,3.38%,"£1,447.35 ","£1,688.57 ","£1,929.79 ","£2,171.02 ","£2,653.47 ","£3,135.92 ","£3,618.37 ","£4,342.04 ",,
Newcastle-under-Lyme,4.68%,"£1,266.85 ","£1,477.99 ","£1,689.14 ","£1,900.28 ","£2,322.56 ","£2,744.85 ","£3,167.13 ","£3,800.56 ",,
Newcastle-upon-Tyne,4.82%,"£1,349.03 ","£1,573.86 ","£1,798.70 ","£2,023.54 ","£2,473.22 ","£2,922.89 ","£3,372.57 ","£4,047.08 ",,
Newham,6.08%,£978.22 ,"£1,141.26 ","£1,304.29 ","£1,467.33 ","£1,793.40 ","£2,119.48 ","£2,445.55 ","£2,934.66 ",,
North Devon,4.77%,"£1,401.46 ","£1,635.04 ","£1,868.61 ","£2,102.19 ","£2,569.34 ","£3,036.50 ","£3,503.65 ","£4,204.38 ",,
North East Derbyshire,2.85%,"£1,336.18 ","£1,558.88 ","£1,781.57 ","£2,004.27 ","£2,449.66 ","£2,895.06 ","£3,340.45 ","£4,008.54 ",,
North East Lincolnshire,5.01%,"£1,345.97 ","£1,570.29 ","£1,794.62 ","£2,018.95 ","£2,467.61 ","£2,916.26 ","£3,364.92 ","£4,037.90 ",,
North Hertfordshire,4.13%,"£1,299.12 ","£1,515.64 ","£1,732.16 ","£1,948.68 ","£2,381.72 ","£2,814.76 ","£3,247.80 ","£3,897.36 ",,
North Kesteven,2.70%,"£1,268.95 ","£1,480.44 ","£1,691.93 ","£1,903.42 ","£2,326.40 ","£2,749.38 ","£3,172.37 ","£3,806.84 ",,
North Lincolnshire,3.80%,"£1,297.78 ","£1,514.08 ","£1,730.37 ","£1,946.67 ","£2,379.26 ","£2,811.86 ","£3,244.45 ","£3,893.34 ",,
North Norfolk,3.81%,"£1,311.67 ","£1,530.28 ","£1,748.90 ","£1,967.51 ","£2,404.73 ","£2,841.96 ","£3,279.18 ","£3,935.02 ",,
North Somerset,4.84%,"£1,266.81 ","£1,477.95 ","£1,689.08 ","£1,900.22 ","£2,322.49 ","£2,744.76 ","£3,167.03 ","£3,800.44 ",,
North Tyneside,4.85%,"£1,294.31 ","£1,510.02 ","£1,725.74 ","£1,941.46 ","£2,372.90 ","£2,804.33 ","£3,235.77 ","£3,882.92 ",,
North Warwickshire,3.29%,"£1,370.42 ","£1,598.82 ","£1,827.22 ","£2,055.63 ","£2,512.44 ","£2,969.24 ","£3,426.05 ","£4,111.26 ",,
North West Leicestershire,4.65%,"£1,313.93 ","£1,532.91 ","£1,751.90 ","£1,970.89 ","£2,408.87 ","£2,846.84 ","£3,284.82 ","£3,941.78 ",,
