Area,Increase,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,Band I,notes
Tendring,1.98%,"£1,229.56 ","£1,434.49 ","£1,639.41 ","£1,844.34 ","£2,254.19 ","£2,664.05 ","£3,073.90 ","£3,688.68 ",,
Test Valley,4.75%,"£1,225.28 ","£1,429.49 ","£1,633.71 ","£1,837.92 ","£2,246.35 ","£2,654.77 ","£3,063.20 ","£3,675.84 ",,
Tewkesbury,4.72%,"£1,247.99 ","£1,455.99 ","£1,663.99 ","£1,871.99 ","£2,287.99 ","£2,703.98 ","£3,119.98 ","£3,743.98 ",,
Thanet,4.64%,"£1,339.69 ","£1,562.97 ","£1,786.26 ","£2,009.54 ","£2,456.10 ","£2,902.67 ","£3,349.23 ","£4,019.08 ",,
Three Rivers,4.25%,"£1,281.38 ","£1,494.94 ","£1,708.50 ","£1,922.07 ","£2,349.20 ","£2,776.32 ","£3,203.45 ","£3,844.14 ",,
Thurrock,4.76%,"£1,121.16 ","£1,308.02 ","£1,494.88 ","£1,681.74 ","£2,055.46 ","£2,429.18 ","£2,802.90 ","£3,363.48 ",,
Tonbridge & Malling,4.86%,"£1,334.66 ","£1,557.10 ","£1,779.54 ","£2,001.99 ","£2,446.88 ","£2,891.76 ","£3,336.65 ","£4,003.98 ",,
Torbay,5.04%,"£1,316.91 ","£1,536.40 ","£1,755.88 ","£1,975.37 ","£2,414.34 ","£2,853.31 ","£3,292.28 ","£3,950.74 ",,
Torridge,4.79%,"£1,386.24 ","£1,617.28 ","£1,848.32 ","£2,079.36 ","£2,541.44 ","£3,003.52 ","£3,465.60 ","£4,158.72 ",,
Tower Hamlets,6.07%,£984.61 ,"£1,148.71 ","£1,312.82 ","£1,476.92 ","£1,805.12 ","£2,133.33 ","£2,461.53 ","£2,953.84 ",,
Trafford,4.69%,"£1,147.55 ","£1,338.80 ","£1,530.06 ","£1,721.32 ","£2,103.84 ","£2,486.35 ","£2,868.87 ","£3,442.64 ",,
Tunbridge Wells,4.91%,"£1,311.82 ","£1,530.46 ","£1,749.09 ","£1,967.73 ","£2,405.00 ","£2,842.28 ","£3,279.55 ","£3,935.46 ",,
Uttlesford,2.01%,"£1,256.48 ","£1,465.89 ","£1,675.30 ","£1,884.72 ","£2,303.55 ","£2,722.37 ","£3,141.20 ","£3,769.44 ",,
Vale of White Horse,3.46%,"£1,352.49 ","£1,577.90 ","£1,803.31 ","£2,028.73 ","£2,479.56 ","£2,930.39 ","£3,381.22 ","£4,057.46 ",,
Wakefield,4.25%,"£1,205.61 ","£1,406.55 ","£1,607.48 ","£1,808.42 ","£2,210.29 ","£2,612.16 ","£3,014.03 ","£3,616.84 ",,
Walsall,5.24%,"£1,408.31 ","£1,643.02 ","£1,877.74 ","£2,112.46 ","£2,581.90 ","£3,051.33 ","£3,520.77 ","£4,224.92 ",,
Waltham Forest,5.84%,"£1,242.11 ","£1,449.13 ","£1,656.15 ","£1,863.17 ","£2,277.21 ","£2,691.24 ","£3,105.28 ","£3,726.34 ",,
Wandsworth,5.70%,£563.63 ,£657.56 ,£751.50 ,£845.44 ,"£1,033.32 ","£1,221.19 ","£1,409.07 ","£1,690.88 ",,
Warrington,5.06%,"£1,272.75 ","£1,484.88 ","£1,697.00 ","£1,909.13 ","£2,333.38 ","£2,757.63 ","£3,181.88 ","£3,818.26 ",,
Warwick,0.74%,"£1,330.79 ","£1,552.58 ","£1,774.38 ","£1,996.18 ","£2,439.78 ","£2,883.37 ","£3,326.97 ","£3,992.36 ",,
Watford,4.03%,"£1,307.91 ","£1,525.90 ","£1,743.88 ","£1,961.87 ","£2,397.84 ","£2,833.81 ","£3,269.78 ","£3,923.74 ",,
Waverley,2.95%,"£1,394.30 ","£1,626.68 ","£1,859.06 ","£2,091.45 ","£2,556.22 ","£3,020.98 ","£3,485.75 ","£4,182.90 ",,
Wealden,3.41%,"£1,441.79 ","£1,682.09 ","£1,922.39 ","£2,162.69 ","£2,643.29 ","£3,123.88 ","£3,604.48 ","£4,325.38 ",,
Welwyn Hatfield,4.12%,"£1,295.93 ","£1,511.92 ","£1,727.91 ","£1,943.90 ","£2,375.88 ","£2,807.85 ","£3,239.83 ","£3,887.80 ",,
West Berkshire,2.54%,"£1,310.41 ","£1,528.81 ","£1,747.21 ","£1,965.61 ","£2,402.41 ","£2,839.21 ","£3,276.02 ","£3,931.22 ",,
West Devon,4.82%,"£1,444.39 ","£1,685.12 ","£1,925.85 ","£2,166.58 ","£2,648.04 ","£3,129.50 ","£3,610.97 ","£4,333.16 ",,
West Lancashire,4.05%,"£1,323.76 ","£1,544.39 ","£1,765.01 ","£1,985.64 ","£2,426.89 ","£2,868.15 ","£3,309.40 ","£3,971.28 ",,
West Lindsey,2.55%,"£1,283.85 ","£1,497.83 ","£1,711.80 ","£1,925.78 ","£2,353.73 ","£2,781.68 ","£3,209.63 ","£3,851.56 ",,
West Oxfordshire,3.51%,"£1,336.59 ","£1,559.36 ","£1,782.12 ","£2,004.89 ","£2,450.42 ","£2,895.95 ","£3,341.48 ","£4,009.78 ",,
West Suffolk,4.11%,"£1,263.81 ","£1,474.45 ","£1,685.08 ","£1,895.72 ","£2,316.99 ","£2,738.26 ","£3,159.53 ","£3,791.44 ",,
Westminster,6.05%,£552.85 ,£644.99 ,£737.13 ,£829.27 ,"£1,013.55 ","£1,197.83 ","£1,382.12 ","£1,658.54 ",,
Wigan,3.87%,"£1,118.97 ","£1,305.46 ","£1,491.95 ","£1,678.45 ","£2,051.44 ","£2,424.43 ","£2,797.42 ","£3,356.90 ",,
Wiltshire,4.98%,"£1,354.04 ","£1,579.71 ","£1,805.38 ","£2,031.06 ","£2,482.41 ","£2,933.75 ","£3,385.10 ","£4,062.12 ",,
Winchester,4.82%,"£1,256.29 ","£1,465.67 ","£1,675.05 ","£1,884.43 ","£2,303.19 ","£2,721.95 ","£3,140.72 ","£3,768.86 ",,
Windsor & Maidenhead,6.41%,£981.94 ,"£1,145.60 ","£1,309.25 ","£1,472.91 ","£1,800.22 ","£2,127.54 ","£2,454.85 ","£2,945.82 ",,
Wirral,5.05%,"£1,327.49 ","£1,548.74 ","£1,769.99 ","£1,991.24 ","£2,433.74 ","£2,876.23 ","£3,318.73 ","£3,982.48 ",,
Woking,2.84%,"£1,390.07 ","£1,621.75 ","£1,853.43 ","£2,085.11 ","£2,548.47 ","£3,011.82 ","£3,475.18 ","£4,170.22 ",,
Wokingham,5.07%,"£1,325.88 ","£1,546.86 ","£1,767.84 ","£1,988.82 ","£2,430.78 ","£2,872.74 ","£3,314.70 ","£3,977.64 ",,
Wolverhampton,5.25%,"£1,337.39 ","£1,560.28 ","£1,783.18 ","£2,006.08 ","£2,451.88 ","£2,897.67 ","£3,343.47 ","£4,012.16 ",,
Worcester,3.00%,"£1,248.15 ","£1,456.17 ","£1,664.19 ","£1,872.22 ","£2,288.27 ","£2,704.32 ","£3,120.37 ","£3,744.44 ",,
Worthing,4.87%,"£1,315.25 ","£1,534.46 ","£1,753.67 ","£1,972.88 ","£2,411.30 ","£2,849.71 ","£3,288.13 ","£3,945.76 ",,
Wychavon,2.83%,"£1,229.27 ","£1,434.15 ","£1,639.03 ","£1,843.91 ","£2,253.67 ","£2,663.42 ","£3,073.18 ","£3,687.82 ",,
Wyre,4.09%,"£1,323.90 ","£1,544.55 ","£1,765.20 ","£1,985.85 ","£2,427.15 ","£2,868.45 ","£3,309.75 ","£3,971.70 ",,
Wyre Forest,3.13%,"£1,292.80 ","£1,508.27 ","£1,723.73 ","£1,939.20 ","£2,370.13 ","£2,801.07 ","£3,232.00 ","£3,878.40 ",,
York,4.38%,"£1,206.34 ","£1,407.40 ","£1,608.45 ","£1,809.51 ","£2,211.62 ","£2,613.74 ","£3,015.85 ","£3,619.02 ",,
Blaenau Gwent,3.43%,"£1,385.47 ","£1,616.38 ","£1,847.29 ","£2,078.20 ","£2,540.02 ","£3,001.84 ","£3,463.67 ","£4,156.40 ","£4,849.13 ",
Bridgend,4.04%,"£1,291.55 ","£1,506.81 ","£1,722.07 ","£1,937.33 ","£2,367.85 ","£2,798.36 ","£3,228.88 ","£3,874.66 ","£4,520.44 ",
Caerphilly,4.21%,"£1,022.21 ","£1,192.57 ","£1,362.94 ","£1,533.31 ","£1,874.05 ","£2,214.78 ","£2,555.52 ","£3,066.62 ","£3,577.72 ",
Cardiff,3.85%,"£1,067.12 ","£1,244.97 ","£1,422.83 ","£1,600.68 ","£1,956.39 ","£2,312.09 ","£2,667.80 ","£3,201.36 ","£3,734.92 ",
Carmarthenshire,3.77%,"£1,153.16 ","£1,345.35 ","£1,537.55 ","£1,729.74 ","£2,114.13 ","£2,498.51 ","£2,882.90 ","£3,459.48 ","£4,036.06 ",
Ceredigion,3.86%,"£1,150.15 ","£1,341.84 ","£1,533.53 ","£1,725.22 ","£2,108.60 ","£2,491.98 ","£2,875.37 ","£3,450.44 ","£4,025.51 ",
Conwy,3.26%,"£1,157.77 ","£1,350.73 ","£1,543.70 ","£1,736.66 ","£2,122.58 ","£2,508.51 ","£2,894.43 ","£3,473.32 ","£4,052.21 ",
Denbighshire,3.97%,"£1,198.35 ","£1,398.07 ","£1,597.79 ","£1,797.52 ","£2,196.97 ","£2,596.42 ","£2,995.87 ","£3,595.04 ","£4,194.21 ",
Flintshire,4.08%,"£1,165.25 ","£1,359.46 ","£1,553.67 ","£1,747.88 ","£2,136.30 ","£2,524.71 ","£2,913.13 ","£3,495.76 ","£4,078.39 ",
Gwynedd,3.88%,"£1,225.21 ","£1,429.41 ","£1,633.61 ","£1,837.81 ","£2,246.21 ","£2,654.61 ","£3,063.02 ","£3,675.62 ","£4,288.22 ",
Isle of Anglesey,3.34%,"£1,131.43 ","£1,320.00 ","£1,508.57 ","£1,697.14 ","£2,074.28 ","£2,451.42 ","£2,828.57 ","£3,394.28 ","£3,959.99 ",
Merthyr Tydfil,3.82%,"£1,345.31 ","£1,569.52 ","£1,793.74 ","£2,017.96 ","£2,466.40 ","£2,914.83 ","£3,363.27 ","£4,035.92 ","£4,708.57 ",
Monmouthshire,3.97%,"£1,190.45 ","£1,388.86 ","£1,587.27 ","£1,785.68 ","£2,182.50 ","£2,579.31 ","£2,976.13 ","£3,571.36 ","£4,166.59 ",
Neath Port Talbot,3.14%,"£1,330.77 ","£1,552.56 ","£1,774.35 ","£1,996.15 ","£2,439.74 ","£2,883.33 ","£3,326.92 ","£3,992.30 ","£4,657.68 ",
Newport,4.03%,"£1,024.92 ","£1,195.74 ","£1,366.56 ","£1,537.38 ","£1,879.02 ","£2,220.66 ","£2,562.30 ","£3,074.76 ","£3,587.22 ",
Pembrokeshire,4.07%,"£1,002.67 ","£1,169.78 ","£1,336.89 ","£1,504.00 ","£1,838.22 ","£2,172.44 ","£2,506.67 ","£3,008.00 ","£3,509.33 ",
Powys,3.24%,"£1,164.37 ","£1,358.43 ","£1,552.50 ","£1,746.56 ","£2,134.68 ","£2,522.81 ","£2,910.93 ","£3,493.12 ","£4,075.31 ",
Rhondda Cynon Taf,3.02%,"£1,235.42 ","£1,441.32 ","£1,647.23 ","£1,853.13 ","£2,264.94 ","£2,676.74 ","£3,088.55 ","£3,706.26 ","£4,323.97 ",
Swansea,3.38%,"£1,169.01 ","£1,363.85 ","£1,558.68 ","£1,753.52 ","£2,143.19 ","£2,532.86 ","£2,922.53 ","£3,507.04 ","£4,091.55 ",
Torfaen,4.07%,"£1,172.43 ","£1,367.84 ","£1,563.24 ","£1,758.65 ","£2,149.46 ","£2,540.27 ","£2,931.08 ","£3,517.30 ","£4,103.52 ",
Vale of Glamorgan,4.13%,"£1,130.95 ","£1,319.44 ","£1,507.93 ","£1,696.42 ","£2,073.40 ","£2,450.38 ","£2,827.37 ","£3,392.84 ","£3,958.31 ",
Wrexham,6.43%,"£1,117.61 ","£1,303.87 ","£1,490.14 ","£1,676.41 ","£2,048.95 ","£2,421.48 ","£2,794.02 ","£3,352.82 ","£3,911.62 ",
Aberdeen City,0.00%,£918.20 ,"£1,071.23 ","£1,224.27 ","£1,377.30 ","£1,683.37 ","£1,989.43 ","£2,295.50 ","£2,754.60 ",,
Aberdeenshire,0.00%,£867.21 ,"£1,011.74 ","£1,156.27 ","£1,300.81 ","£1,589.88 ","£1,878.95 ","£2,168.02 ","£2,601.62 ",,
Angus,0.00%,£804.36 ,£938.42 ,"£1,072.48 ","£1,206.54 ","£1,474.66 ","£1,742.78 ","£2,010.90 ","£2,413.08 ",,
Argyll & Bute,0.00%,£911.82 ,"£1,063.79 ","£1,215.76 ","£1,367.73 ","£1,671.67 ","£1,975.61 ","£2,279.55 ","£2,735.46 ",,
City of Edinburgh,0.00%,£892.39 ,"£1,041.12 ","£1,189.86 ","£1,338.59 ","£1,636.05 ","£1,933.52 ","£2,230.98 ","£2,677.18 ",,
Clackmannanshire,0.00%,£869.75 ,"£1,014.71 ","£1,159.67 ","£1,304.63 ","£1,594.55 ","£1,884.46 ","£2,174.38 ","£2,609.26 ",,
Dumfries & Galloway,0.00%,£815.09 ,£950.93 ,"£1,086.78 ","£1,222.63 ","£1,494.33 ","£1,766.02 ","£2,037.72 ","£2,445.26 ",,
East Ayrshire,0.00%,£916.90 ,"£1,069.72 ","£1,222.53 ","£1,375.35 ","£1,680.98 ","£1,986.62 ","£2,292.25 ","£2,750.70 ",,
East Dunbartonshire,0.00%,£872.65 ,"£1,018.09 ","£1,163.54 ","£1,308.98 ","£1,599.86 ","£1,890.75 ","£2,181.63 ","£2,617.96 ",,
East Lothian,0.00%,£868.41 ,"£1,013.15 ","£1,157.88 ","£1,302.62 ","£1,592.09 ","£1,881.56 ","£2,171.03 ","£2,605.24 ",,
East Renfrewshire,0.00%,£859.97 ,"£1,003.30 ","£1,146.63 ","£1,289.96 ","£1,576.62 ","£1,863.27 ","£2,149.93 ","£2,579.92 ",,
Falkirk,0.00%,£817.05 ,£953.23 ,"£1,089.40 ","£1,225.58 ","£1,497.93 ","£1,770.28 ","£2,042.63 ","£2,451.16 ",,
Fife,0.00%,£853.87 ,£996.18 ,"£1,138.49 ","£1,280.80 ","£1,565.42 ","£1,850.04 ","£2,134.67 ","£2,561.60 ",,
Highland,0.00%,£888.22 ,"£1,036.26 ","£1,184.29 ","£1,332.33 ","£1,628.40 ","£1,924.48 ","£2,220.55 ","£2,664.66 ",,
Inverclyde,0.00%,£887.89 ,"£1,035.87 ","£1,183.86 ","£1,331.84 ","£1,627.80 ","£1,923.77 ","£2,219.73 ","£2,663.68 ",,
Midlothian,0.00%,£939.33 ,"£1,095.89 ","£1,252.44 ","£1,409.00 ","£1,722.11 ","£2,035.22 ","£2,348.33 ","£2,818.00 ",,
Moray,0.00%,£881.91 ,"£1,028.90 ","£1,175.88 ","£1,322.87 ","£1,616.84 ","£1,910.81 ","£2,204.78 ","£2,645.74 ",,
Na h-Eileanan Siar,0.00%,£795.66 ,£928.27 ,"£1,060.88 ","£1,193.49 ","£1,458.71 ","£1,723.93 ","£1,989.15 ","£2,386.98 ",,
North Ayrshire,0.00%,£895.13 ,"£1,044.31 ","£1,193.50 ","£1,342.69 ","£1,641.07 ","£1,939.44 ","£2,237.82 ","£2,685.38 ",,
North Lanarkshire,0.00%,£814.17 ,£949.86 ,"£1,085.55 ","£1,221.25 ","£1,492.64 ","£1,764.03 ","£2,035.42 ","£2,442.50 ",,
Perth & Kinross,0.00%,£878.67 ,"£1,025.11 ","£1,171.55 ","£1,318.00 ","£1,610.89 ","£1,903.78 ","£2,196.67 ","£2,636.00 ",,
Renfrewshire,0.00%,£876.95 ,"£1,023.10 ","£1,169.26 ","£1,315.42 ","£1,607.74 ","£1,900.05 ","£2,192.37 ","£2,630.84 ",,
Scottish Borders,0.00%,£835.94 ,£975.26 ,"£1,114.59 ","£1,253.91 ","£1,532.56 ","£1,811.20 ","£2,089.85 ","£2,507.82 ",,
Shetland Islands,0.00%,£804.22 ,£938.26 ,"£1,072.29 ","£1,206.33 ","£1,474.40 ","£1,742.48 ","£2,010.55 ","£2,412.66 ",,
South Ayrshire,0.00%,£896.64 ,"£1,046.08 ","£1,195.52 ","£1,344.96 ","£1,643.84 ","£1,942.72 ","£2,241.60 ","£2,689.92 ",,
South Lanarkshire,0.00%,£802.00 ,£935.67 ,"£1,069.33 ","£1,203.00 ","£1,470.33 ","£1,737.67 ","£2,005.00 ","£2,406.00 ",,
Stirling,0.00%,£896.19 ,"£1,045.55 ","£1,194.91 ","£1,344.28 ","£1,643.01 ","£1,941.74 ","£2,240.47 ","£2,688.56 ",,
West Dunbartonshire,0.00%,£862.37 ,"£1,006.09 ","£1,149.82 ","£1,293.55 ","£1,581.01 ","£1,868.46 ","£2,155.92 ","£2,587.10 ",,
West Lothian,0.00%,£850.95 ,£992.77 ,"£1,134.59 ","£1,276.42 ","£1,560.07 ","£1,843.72 ","£2,127.37 ","£2,552.84 ",,
