"","Date","CPI"
"1",198801,36.6637120540618
"2",198802,36.7818965582551
"3",198803,36.9076569922044
"4",198804,37.334181837466
"5",198805,37.5228224883899
"6",198806,37.6750986764851
"7",198807,37.6675227467291
"8",198808,37.7887376228248
"9",198809,37.9720751229195
"10",198810,38.142533542429
"11",198811,38.2842034288658
"12",198812,38.34026530906
"13",198901,38.4592074062289
"14",198902,38.6061804434949
"15",198903,38.7569414456389
"16",198904,39.2971052372402
"17",198905,39.5221103509928
"18",198906,39.6516587498201
"19",198907,39.6130215080646
"20",198908,39.6774169109904
"21",198909,39.9418168594741
"22",198910,40.2342477480549
"23",198911,40.3994030167352
"24",198912,40.4501617461003
"25",199001,40.6350144321462
"26",199002,40.8751714054107
"27",199003,41.074418357993
"28",199004,41.8274657757373
"29",199005,42.2244444949506
"30",199006,42.3714175322166
"31",199007,42.300961385486
"32",199008,42.7403653113328
"33",199009,43.1881027599112
"34",199010,43.5070494026379
"35",199011,43.550232202247
"36",199012,43.5312923778571
"37",199101,43.5017462518087
"38",199102,43.7434184110245
"39",199103,43.8896338553149
"40",199104,45.3593642279749
"41",199105,45.6783108707016
"42",199106,45.9260437737221
"43",199107,45.8002833397729
"44",199108,46.114684424646
"45",199109,46.2571119040584
"46",199110,46.4449949620067
"47",199111,46.6275748691258
"48",199112,46.6669697038569
"49",199201,46.5336333401517
"50",199202,46.7487897452215
"51",199203,46.9859163465836
"52",199204,47.4965340121366
"53",199205,47.6609316878414
"54",199206,47.6821442911581
"55",199207,47.4442600968204
"56",199208,47.4753214088199
"57",199209,47.6329007477443
"58",199210,47.7829041569127
"59",199211,47.8169958408146
"60",199212,47.8571482685213
"61",199301,47.57683886755
"62",199302,47.8700273491064
"63",199303,48.15336712198
"64",199304,48.6798942400206
"65",199305,48.8609589611885
"66",199306,48.829897649189
"67",199307,48.6745910891914
"68",199308,48.8609589611885
"69",199309,49.0897520398191
"70",199310,49.0185383001129
"71",199311,48.910960097578
"72",199312,49.0102047773813
"73",199401,48.8473222876277
"74",199402,49.0746001803071
"75",199403,49.2291491473291
"76",199404,49.6602195504443
"77",199405,49.8185564823443
"78",199406,49.8170412963931
"79",199407,49.5117313272271
"80",199408,49.7806768335644
"81",199409,49.8450722364902
"82",199410,49.7617370091744
"83",199411,49.8117381455639
"84",199412,50.0125002840974
"85",199501,50.0238641787313
"86",199502,50.2458389205815
"87",199503,50.508723683114
"88",199504,50.7958514208656
"89",199505,51.0511602536421
