,region,ethnicity,age_start,age_end,sex,year_start,year_end,mean_value
81,East Midlands,BAN,26,27,Female,2021,2022,0.2008254296240423
82,East Midlands,BAN,26,27,Female,2022,2023,0.2015205123144342
83,East Midlands,BAN,26,27,Female,2023,2024,0.2019482555085217
84,East Midlands,BAN,26,27,Female,2024,2025,0.2021621271055653
85,East Midlands,BAN,27,28,Female,2020,2021,0.191297266005445
86,East Midlands,BAN,27,28,Female,2021,2022,0.1921156500311368
87,East Midlands,BAN,27,28,Female,2022,2023,0.1927805870520114
88,East Midlands,BAN,27,28,Female,2023,2024,0.1931897790648573
89,East Midlands,BAN,27,28,Female,2024,2025,0.1933943750712802
90,East Midlands,BAN,28,29,Female,2020,2021,0.1764714861286117
91,East Midlands,BAN,28,29,Female,2021,2022,0.1772264443580388
92,East Midlands,BAN,28,29,Female,2022,2023,0.1778398479194484
93,East Midlands,BAN,28,29,Female,2023,2024,0.1782173270341621
94,East Midlands,BAN,28,29,Female,2024,2025,0.1784060665915189
95,East Midlands,BAN,29,30,Female,2020,2021,0.1605140929013773
96,East Midlands,BAN,29,30,Female,2021,2022,0.1612007842079073
97,East Midlands,BAN,29,30,Female,2022,2023,0.161758720894463
98,East Midlands,BAN,29,30,Female,2023,2024,0.1621020665477278
99,East Midlands,BAN,29,30,Female,2024,2025,0.1622737393743604
100,East Midlands,BAN,30,31,Female,2020,2021,0.1440098777068398
101,East Midlands,BAN,30,31,Female,2021,2022,0.1446259627451578
102,East Midlands,BAN,30,31,Female,2022,2023,0.1451265318387912
103,East Midlands,BAN,30,31,Female,2023,2024,0.1454345743579502
104,East Midlands,BAN,30,31,Female,2024,2025,0.1455885956175297
105,East Midlands,BAN,31,32,Female,2020,2021,0.1274539153717135
106,East Midlands,BAN,31,32,Female,2021,2022,0.1279991727636781
107,East Midlands,BAN,31,32,Female,2022,2023,0.1284421943946494
108,East Midlands,BAN,31,32,Female,2023,2024,0.1287148230906316
109,East Midlands,BAN,31,32,Female,2024,2025,0.1288511374386227
110,East Midlands,BAN,32,33,Female,2020,2021,0.1152809252831907
111,East Midlands,BAN,32,33,Female,2021,2022,0.1157741057122097
112,East Midlands,BAN,32,33,Female,2022,2023,0.1161748148107876
113,East Midlands,BAN,32,33,Female,2023,2024,0.1164214050252971
114,East Midlands,BAN,32,33,Female,2024,2025,0.1165447001325517
115,East Midlands,BAN,33,34,Female,2020,2021,0.1000088540421814
116,East Midlands,BAN,33,34,Female,2021,2022,0.1004366994070678
117,East Midlands,BAN,33,34,Female,2022,2023,0.1007843237660379
118,East Midlands,BAN,33,34,Female,2023,2024,0.1009982464484811
119,East Midlands,BAN,33,34,Female,2024,2025,0.1011052077897027
120,East Midlands,BAN,34,35,Female,2020,2021,0.0856776819475415
121,East Midlands,BAN,34,35,Female,2021,2022,0.086044217485285
122,East Midlands,BAN,34,35,Female,2022,2023,0.0863420276097016
123,East Midlands,BAN,34,35,Female,2023,2024,0.0865252953785734
124,East Midlands,BAN,34,35,Female,2024,2025,0.0866169292630092
125,East Midlands,BAN,35,36,Female,2020,2021,0.0724080846641474
126,East Midlands,BAN,35,36,Female,2021,2022,0.0727178518712667
127,East Midlands,BAN,35,36,Female,2022,2023,0.0729695377270512
128,East Midlands,BAN,35,36,Female,2023,2024,0.0731244213306109
129,East Midlands,BAN,35,36,Female,2024,2025,0.0732018631323907
130,East Midlands,BAN,36,37,Female,2020,2021,0.0602633415680895
131,East Midlands,BAN,36,37,Female,2021,2022,0.0605211526550118
132,East Midlands,BAN,36,37,Female,2022,2023,0.0607306241631362
133,East Midlands,BAN,36,37,Female,2023,2024,0.0608595297065973
134,East Midlands,BAN,36,37,Female,2024,2025,0.0609239824783279
135,East Midlands,BAN,37,38,Female,2020,2021,0.052674577305313
136,East Midlands,BAN,37,38,Female,2021,2022,0.0528999230905763
137,East Midlands,BAN,37,38,Female,2022,2023,0.0530830165411028
138,East Midlands,BAN,37,38,Female,2023,2024,0.0531956894337345
139,East Midlands,BAN,37,38,Female,2024,2025,0.0532520258800504
140,East Midlands,BAN,38,39,Female,2020,2021,0.0449696485918829
141,East Midlands,BAN,38,39,Female,2021,2022,0.0451620321152706
142,East Midlands,BAN,38,39,Female,2022,2023,0.0453183437280231
143,East Midlands,BAN,38,39,Female,2023,2024,0.045414535489717
144,East Midlands,BAN,38,39,Female,2024,2025,0.0454626313705639
145,East Midlands,BAN,39,40,Female,2020,2021,0.0380891257140885
146,East Midlands,BAN,39,40,Female,2021,2022,0.0382520738454856
147,East Midlands,BAN,39,40,Female,2022,2023,0.0383844692022458
148,East Midlands,BAN,39,40,Female,2023,2024,0.0384659432679444
149,East Midlands,BAN,39,40,Female,2024,2025,0.0385066803007937
150,East Midlands,BAN,40,41,Female,2020,2021,0.0319911312735319
151,East Midlands,BAN,40,41,Female,2021,2022,0.032127991728178
152,East Midlands,BAN,40,41,Female,2022,2023,0.032239190847578
153,East Midlands,BAN,40,41,Female,2023,2024,0.0323076210749011
154,East Midlands,BAN,40,41,Female,2024,2025,0.0323418361885626
155,East Midlands,BAN,41,42,Female,2020,2021,0.0266234321809874
156,East Midlands,BAN,41,42,Female,2021,2022,0.0267373292170558
157,East Midlands,BAN,41,42,Female,2022,2023,0.0268298705588613
158,East Midlands,BAN,41,42,Female,2023,2024,0.0268868190768955
159,East Midlands,BAN,41,42,Female,2024,2025,0.0269152933359126
160,East Midlands,BAN,42,43,Female,2020,2021,0.0227607000394666
161,East Midlands,BAN,42,43,Female,2021,2022,0.022858072018245
162,East Midlands,BAN,42,43,Female,2022,2023,0.0229371867510025
163,East Midlands,BAN,42,43,Female,2023,2024,0.0229858727403918
164,East Midlands,BAN,42,43,Female,2024,2025,0.0230102157350864
165,East Midlands,BAN,43,44,Female,2020,2021,0.0193908979937408
166,East Midlands,BAN,43,44,Female,2021,2022,0.019473853707083
167,East Midlands,BAN,43,44,Female,2022,2023,0.0195412552241736
168,East Midlands,BAN,43,44,Female,2023,2024,0.0195827330808447
169,East Midlands,BAN,43,44,Female,2024,2025,0.0196034720091802
170,East Midlands,BAN,44,45,Female,2020,2021,0.0164668736930974
171,East Midlands,BAN,44,45,Female,2021,2022,0.0165373202115705
172,East Midlands,BAN,44,45,Female,2022,2023,0.0165945580078299
173,East Midlands,BAN,44,45,Female,2023,2024,0.0166297812670665
174,East Midlands,BAN,44,45,Female,2024,2025,0.0166473928966848
175,East Midlands,BAN,45,46,Female,2020,2021,0.0139420533432738
176,East Midlands,BAN,45,46,Female,2021,2022,0.0140016984912664
177,East Midlands,BAN,45,46,Female,2022,2023,0.0140501601740104
178,East Midlands,BAN,45,46,Female,2023,2024,0.0140799827480068
179,East Midlands,BAN,45,46,Female,2024,2025,0.0140948940350049
180,East Midlands,BAN,46,47,Female,2020,2021,0.0127185993026933
181,East Midlands,BAN,46,47,Female,2021,2022,0.0127730104227048
182,East Midlands,BAN,46,47,Female,2022,2023,0.0128172194577142
183,East Midlands,BAN,46,47,Female,2023,2024,0.0128444250177199
184,East Midlands,BAN,46,47,Female,2024,2025,0.0128580277977228
185,East Midlands,BAN,47,48,Female,2020,2021,0.0107210367313923
186,East Midlands,BAN,47,48,Female,2021,2022,0.0107669021291737
187,East Midlands,BAN,47,48,Female,2022,2023,0.010804167764871
188,East Midlands,BAN,47,48,Female,2023,2024,0.0108271004637617
189,East Midlands,BAN,47,48,Female,2024,2025,0.010838566813207
190,East Midlands,BAN,48,49,Female,2020,2021,0.0090150666111251
191,East Midlands,BAN,48,49,Female,2021,2022,0.0090536337410122
192,East Midlands,BAN,48,49,Female,2022,2023,0.0090849695340455
193,East Midlands,BAN,48,49,Female,2023,2024,0.0091042530989891
194,East Midlands,BAN,48,49,Female,2024,2025,0.0091138948814609
195,East Midlands,BAN,49,50,Female,2020,2021,0.0074899918077028
