DZ2011_Code,DZ2011_Name,IZ2011_Code,IZ2011_Name,MMWard_Code,MMWard_Name,LA_Code,LA_Name,SPC_Code,SPC_Name,UKPC_Code,UKPC_Name,HB_Code,HB_Name,HIA_Code,HIA_Name,SPD_Code,SPD_Name,SFRLSO_Code,SFRLSO_Name,SFRSDA_Code,SFRSDA_Name,RRP_Code,RRP_Name,LRP_Code,LRP_Name,TTWA2011_Code,TTWA2011_Name,UR2_Code,UR2_Name,UR3_Code,UR3_Name,UR6_Code,UR6_Name,UR8_Code,UR8_Name,Country_Code,Country_Name
S01006541,"Braeside, Mannofield, Broomhill and Seafield South - 05",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006542,"Braeside, Mannofield, Broomhill and Seafield North - 01",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006543,"Braeside, Mannofield, Broomhill and Seafield North - 02",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006544,"Braeside, Mannofield, Broomhill and Seafield North - 03",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006545,"Braeside, Mannofield, Broomhill and Seafield North - 04",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006546,"Braeside, Mannofield, Broomhill and Seafield North - 05",S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006547,Hazlehead - 01,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006548,Hazlehead - 02,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006549,Hazlehead - 03,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006550,Hazlehead - 04,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006551,Hazlehead - 05,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006552,Hazlehead - 06,S02001243,Hazlehead,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006553,Summerhill - 01,S02001244,Summerhill,S13002844,Hazlehead/Queens Cross/Countesswells,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000001,Aberdeen North,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006554,Summerhill - 02,S02001244,Summerhill,S13002837,Kingswells/Sheddocksley/Summerhill,S12000033,Aberdeen City,S16000075,Aberdeen Donside,S14000001,Aberdeen North,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006555,Summerhill - 03,S02001244,Summerhill,S13002837,Kingswells/Sheddocksley/Summerhill,S12000033,Aberdeen City,S16000075,Aberdeen Donside,S14000001,Aberdeen North,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
