DZ2011_Code,DZ2011_Name,IZ2011_Code,IZ2011_Name,MMWard_Code,MMWard_Name,LA_Code,LA_Name,SPC_Code,SPC_Name,UKPC_Code,UKPC_Name,HB_Code,HB_Name,HIA_Code,HIA_Name,SPD_Code,SPD_Name,SFRLSO_Code,SFRLSO_Name,SFRSDA_Code,SFRSDA_Name,RRP_Code,RRP_Name,LRP_Code,LRP_Name,TTWA2011_Code,TTWA2011_Name,UR2_Code,UR2_Name,UR3_Code,UR3_Name,UR6_Code,UR6_Name,UR8_Code,UR8_Name,Country_Code,Country_Name
S01006518,"Cults, Bieldside and Milltimber East - 01",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006519,"Cults, Bieldside and Milltimber East - 02",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006520,"Cults, Bieldside and Milltimber East - 03",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006521,"Cults, Bieldside and Milltimber East - 04",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006522,"Cults, Bieldside and Milltimber East - 05",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006523,"Cults, Bieldside and Milltimber East - 06",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006524,"Cults, Bieldside and Milltimber East - 07",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006525,"Cults, Bieldside and Milltimber East - 08",S02001238,"Cults, Bieldside and Milltimber East",S13002843,Lower Deeside,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006526,Garthdee - 01,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006527,Garthdee - 02,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006528,Garthdee - 03,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006529,Garthdee - 04,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006530,Garthdee - 05,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
