"run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,27833,1716.5146733153,47.5444623057288,83811.7624115614,3.01123710744661
2,27858,1716.48907500576,47.5954552160658,79294.3862567499,2.84637756682999
3,27853,1726.16309485144,47.5170772502665,74079.0362063047,2.65964299020948
4,27868,1716.22618266021,47.605675142747,61969.8143004096,2.22369076720287
5,27820,1721.99641467835,47.534378163958,73870.3845592386,2.65529779148952
6,27863,1720.17682346835,47.5394768501324,72802.903799304,2.61288819579026
7,27872,1724.75052464099,47.6403536300852,71464.0831303504,2.56400987120947
8,27868,1725.00495352064,47.554229091835,73411.4935494512,2.63425769877462
9,27855,1713.32195436047,47.5345307496106,62938.0462951672,2.25948828918209
10,27820,1715.97301716994,47.4631407161883,78670.51622926,2.82784026704745
11,27862,1723.55906866899,47.6082599120907,52868.0765473827,1.89749754315493
12,27851,1718.75816955795,47.4578424149111,65570.7791754224,2.35434200479058
13,27817,1721.16267297492,47.4763393364398,101077.118145486,3.63364554572692
14,27838,1715.83458809002,47.4589084031263,66621.3751556566,2.39318108900268
15,27859,1717.84771356816,47.5576035824176,61739.7254263684,2.21615009247886
16,27858,1721.37875707219,47.5438112472313,84102.0108105246,3.0189536510347
17,27850,1725.63020908833,47.6373669438792,49140.4338248418,1.76446800089199
18,27870,1715.62917082699,47.5149835345088,66126.7071160215,2.37268414481599
19,27856,1723.51980081374,47.6282629447964,55369.1721744542,1.98769285520011
20,27841,1722.80998223003,47.5444264478998,76424.8248889951,2.74504597137298
21,27877,1722.04112370763,47.6246172642304,99611.0888301353,3.57323560032053
22,27849,1714.77535213665,47.6058360426306,81675.8232771766,2.9328099133605
23,27844,1719.36886054196,47.610449971479,78925.9581425435,2.83457686189281
24,27859,1722.73353515119,47.5972245852187,73913.9534089102,2.65314452812054
25,27858,1715.58659250516,47.5825013635403,78726.7009062608,2.82599974536079
26,27879,1725.11030764043,47.5719597679133,56609.1672946066,2.03053076848547
27,27871,1725.85678603084,47.4423578519308,69719.6079408029,2.50151081557185
28,27851,1711.54534222092,47.6151594295637,70480.0978753727,2.53061282809855
29,27861,1718.32533759961,47.5811712188557,100802.117974005,3.61803660938247
30,27892,1714.81848433963,47.4955630735939,82468.2687717684,2.95669972650826
31,27846,1718.10689926616,47.6909379038672,66991.0781715436,2.40577024246009
32,27880,1715.70373999947,47.5946025218645,73878.9442509544,2.64989039637569
33,27861,1724.76669088515,47.6234980524037,81250.8831768578,2.91629457581773
34,27854,1712.44542568931,47.5897249072378,73755.0337817319,2.6479153364591
35,27850,1714.0662666639,47.4645481539553,74526.56925749,2.67599889613968
36,27887,1717.37026125228,47.6538551212908,68087.4975066653,2.44154973667534
37,27873,1716.00247004649,47.5582625597054,70100.1127885619,2.51498269969368
38,27834,1713.75868606154,47.5053039675093,66448.1571386573,2.387301758233
39,27850,1721.38740938921,47.5655577645301,71302.383427216,2.56022920744043
40,27838,1715.15622901953,47.5899718785153,66718.4444681518,2.39666802457618
41,27850,1721.08169331094,47.5361261388848,65058.0472387064,2.33601605884045
42,27857,1719.63543673079,47.6432040748681,75005.6426181741,2.69252405564756
43,27858,1716.60905508586,47.5825311823814,75902.6878144253,2.72462803555264
44,27864,1716.52118591545,47.5737767696227,73392.8524943193,2.63396685667238
45,27866,1719.7947826218,47.6721986118931,66570.5583934163,2.38895278810796
46,27863,1718.69502088357,47.5922761183617,86957.7329139366,3.12090345310758
47,27859,1713.14224480357,47.5933409125913,69348.0833502534,2.489252426514
48,27869,1725.01870471165,47.5362946919791,62878.3959894794,2.25621285261328
49,27870,1722.3048169977,47.4195297666189,91660.4281435235,3.28885640988603
50,27835,1713.94444904496,47.5662411663291,72894.2650135385,2.61879881492863
51,27840,1717.74141819601,47.5540569462425,56057.4640111955,2.01355833373547
52,27858,1719.10116629745,47.6629421730002,61025.9529693669,2.19060783147989
53,27837,1713.44081532106,47.5581691442237,69831.869050399,2.50859895284689
54,27861,1719.4619115656,47.588864014766,95358.8888813926,3.42266569331297
55,27844,1720.61343077671,47.5175593987159,67272.4687951625,2.41604901577225
56,27851,1718.1432378648,47.5755125688658,87326.8238383909,3.13550047891964
57,27880,1716.47839192496,47.579854796156,85280.3427917274,3.05883582466741
58,27849,1719.88099814069,47.5359647916224,65877.8779841595,2.36553836705661
59,27875,1729.40622386418,47.4530118912981,63721.0388065574,2.28595654911417
60,27854,1722.87867279931,47.5827844881673,74594.5306878922,2.67805452315259
61,27855,1713.92518504746,47.5313657317685,69698.3170992339,2.5021833458709
62,27857,1719.44100793745,47.5764322723848,87268.1590836527,3.13271921181939
63,27878,1722.66151309469,47.5033062383348,75929.9084042954,2.72364977416943
64,27849,1714.39719025835,47.5451398196705,64884.8686395111,2.32988145497185
65,27861,1709.374956266,47.5316052730873,69396.1996133853,2.49080074704373
66,27852,1713.98100669324,47.6553868056306,92390.6736852852,3.31720069242012
67,27842,1719.92253956756,47.63315726619,77418.2501649321,2.78062819355406
68,27839,1715.10694892347,47.54443560699,77601.5865176289,2.78751343502385
69,27853,1722.17197496362,47.6122519057972,70785.5914369313,2.54139918274266
70,27861,1718.62074556526,47.534921230063,76347.2413528716,2.74029077753389
71,27817,1713.04991499702,47.5825218532887,64188.431714561,2.30752531597804
72,27896,1726.27333675119,47.5902270222816,76170.5388028928,2.73051831097264
73,27844,1728.41071708918,47.5356510484678,96807.7341788026,3.47678976364038
74,27855,1724.12090556299,47.5680762863369,75974.0784945023,2.72748441911694
75,27855,1719.43222592684,47.5165557923573,79356.0946744737,2.84889946776068
