"run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,7733,1570.26465543013,46.4156821181672,83811.7624115614,10.838195061627
2,7734,1564.57598156064,46.5411014808593,79294.3862567499,10.2527005762542
3,7739,1577.18056972375,46.5494408873905,74079.0362063047,9.57217162505553
4,7740,1566.22785681513,46.4411724641495,61969.8143004096,8.00643595612527
5,7737,1581.74938439905,46.5244641719434,73870.3845592386,9.5476779836162
6,7739,1573.63161606419,46.467945536846,72802.903799304,9.40727533264039
7,7734,1569.61418297923,46.5396178384014,71464.0831303504,9.24024865921262
8,7734,1584.80516146602,46.4958416400085,73411.4935494512,9.49204726525099
9,7736,1558.30712068564,46.5032898096387,62938.0462951672,8.13573504332565
10,7730,1562.74163056535,46.3468874435262,78670.51622926,10.1772983478991
11,7737,1580.10445635519,46.3517795285193,52868.0765473827,6.8331493534164
12,7738,1569.3662227666,46.2860347131363,65570.7791754224,8.47386652564259
13,7731,1567.61250233539,46.3669037917846,101077.118145486,13.0742618219488
14,7745,1577.46129013895,46.3791594498886,66621.3751556566,8.60185605625004
15,7737,1564.66015743554,46.5150030101613,61739.7254263684,7.9798016577961
16,7733,1576.76757801485,46.3910696252494,84102.0108105246,10.8757288000161
17,7740,1565.98671252748,46.6691832275687,49140.4338248418,6.34889325902349
18,7732,1575.11949657919,46.5312318284414,66126.7071160215,8.5523418411823
19,7739,1572.7683202922,46.5830454969735,55369.1721744542,7.15456417811787
20,7731,1575.72943689758,46.4833124531405,76424.8248889951,9.88550315470121
21,7735,1573.80875356516,46.6517335998434,99611.0888301353,12.8779688209613
22,7740,1569.07297115186,46.6439877280219,81675.8232771766,10.5524319479556
23,7737,1567.3082968102,46.4266266225108,78925.9581425435,10.2011061319043
24,7736,1569.61935023153,46.5544216654112,73913.9534089102,9.5545441324858
25,7737,1575.86274090327,46.5479791898907,78726.7009062608,10.1753523208299
26,7738,1571.5606212952,46.6177206945411,56609.1672946066,7.31573627482638
27,7741,1574.35170126414,46.5368513953158,69719.6079408029,9.0065376489863
28,7738,1569.71746062144,46.6709567052579,70480.0978753727,9.10830936616344
29,7734,1559.44268748934,46.5962155508341,100802.117974005,13.033633045514
30,7735,1570.94243929345,46.4572048741518,82468.2687717684,10.6617024915021
31,7739,1569.25506473263,46.5738870649404,66991.0781715436,8.65629644289232
32,7736,1553.69569891355,46.6513669519407,73878.9442509544,9.55001864671075
33,7737,1578.77679216255,46.5757275697141,81250.8831768578,10.5016005140051
34,7729,1569.13520797409,46.5089250457007,73755.0337817319,9.54263601782014
35,7736,1570.65562828128,46.176030983571,74526.56925749,9.63373439212642
36,7735,1583.36742630709,46.6404792587061,68087.4975066653,8.80252068605886
37,7734,1569.26974624692,46.5841950915274,70100.1127885619,9.06388838745305
38,7737,1575.63145825419,46.4341498930262,66448.1571386573,8.58836204454663
39,7744,1579.77845097307,46.5404562363763,71302.383427216,9.20743587644835
40,7735,1571.0685177434,46.4180234670105,66718.4444681518,8.62552611094399
41,7730,1567.84682067574,46.4851746995753,65058.0472387064,8.41630624045361
42,7745,1567.34412907936,46.6130790368923,75005.6426181741,9.68439543165579
43,7733,1570.6703592829,46.550872303939,75902.6878144253,9.81542581332281
44,7734,1565.24877235255,46.5270608969595,73392.8524943193,9.48963699176613
45,7739,1568.36011470835,46.6819068803522,66570.5583934163,8.60195870182405
46,7738,1571.63682031897,46.4659295899458,86957.7329139366,11.2377530258383
47,7737,1556.50716510548,46.5735766031346,69348.0833502534,8.96317479000303
48,7729,1587.3219923464,46.3865467018525,62878.3959894794,8.13538568889629
49,7741,1579.80399600244,46.4398972288417,91660.4281435235,11.8409027442867
50,7732,1567.44317840275,46.4349067799719,72894.2650135385,9.42760799450835
51,7737,1574.3974421745,46.4499525493071,56057.4640111955,7.24537469448049
52,7733,1568.13053235486,46.6727556088271,61025.9529693669,7.89162717824478
53,7737,1558.1490363413,46.4531351192516,69831.869050399,9.02570363841269
54,7740,1572.65741061136,46.5861324160957,95358.8888813926,12.3202698813169
55,7732,1573.99239716917,46.4792225936346,67272.4687951625,8.70052622803447
56,7737,1576.54910294329,46.6020343282273,87326.8238383909,11.2869101510134
57,7741,1565.57127797402,46.5241044430124,85280.3427917274,11.0167087962443
58,7732,1583.59077493737,46.4098638340932,65877.8779841595,8.52016011176403
59,7737,1582.59275722799,46.3546730120271,63721.0388065574,8.23588455558452
60,7742,1568.04491761385,46.4577087020969,74594.5306878922,9.6350465884645
61,7735,1564.17741911984,46.4208006255867,69698.3170992339,9.01077144140064
62,7739,1579.27387336939,46.4170265395437,87268.1590836527,11.2764128548459
63,7744,1562.37154102142,46.4034364829213,75929.9084042954,9.8049985026208
64,7735,1564.0699535546,46.4718357996485,64884.8686395111,8.38847687647202
65,7740,1570.03864140438,46.4170114715386,69396.1996133853,8.96591726271128
66,7739,1561.14934076473,46.5877689162331,92390.6736852852,11.938321964761
67,7737,1563.25784340383,46.5783269451345,77418.2501649321,10.0062362886044
68,7735,1564.73422742243,46.5308227539922,77601.5865176289,10.0325257294931
69,7741,1579.54379378271,46.649042750115,70785.5914369313,9.14424382339895
70,7733,1577.73905172745,46.5632885690847,76347.2413528716,9.87291366259816
71,7740,1568.70843008467,46.5378288671328,64188.431714561,8.29307903288902
72,7736,1579.74132714346,46.6695552067307,76170.5388028928,9.8462433819665
73,7735,1581.52000677535,46.4462431846722,96807.7341788026,12.5155441730837
74,7735,1576.59809500037,46.4515334407416,75974.0784945023,9.82211745242434
75,7730,1573.44929735327,46.3529157126322,79356.0946744737,10.2659889617689
