"run_id","income_quintile","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,1,5567,736.674686381502,46.3342585474817,0,0
1,2,5567,1350.88948684236,46.9240262157012,83811.7624115614,15.055103720417
1,3,5567,1693.49618047736,47.8254720796143,0,0
1,4,5566,2072.10335999397,48.0458725321908,0,0
1,5,5566,3014.89417234796,48.9444586582879,0,0
2,1,5572,750.583288511425,46.6150961785862,0,0
2,2,5572,1355.2976122841,46.5233467133317,79294.3862567499,14.2308661623744
2,3,5572,1696.76878447228,47.7079197201892,0,0
2,4,5571,2071.483020443,48.3395050429213,0,0
2,5,5571,3008.33444522644,49.2135723800088,0,0
3,1,5571,742.211970410317,46.8251349948572,0,0
3,2,5571,1356.46488645905,46.5112722825816,74079.0362063047,13.2972601339624
3,3,5571,1711.00012958663,47.3704261767847,0,0
3,4,5570,2079.90647975253,48.157095528849,0,0
3,5,5570,3029.36935870559,49.029886316419,0,0
4,1,5574,735.374344668163,46.4861211564349,0,0
4,2,5574,1352.0710935654,46.9935464888017,61969.8143004096,11.1176559562988
4,3,5574,1695.14893739627,47.6021730703868,0,0
4,4,5573,2066.65509472195,48.2427059458387,0,0
4,5,5573,3014.98066352848,49.0462309828855,0,0
5,1,5564,737.484965796566,46.4645649367715,0,0
5,2,5564,1355.18641782216,46.8307920551231,73870.3845592386,13.2764889574476
5,3,5564,1698.67643045996,47.486760437748,0,0
5,4,5564,2075.37877694631,48.1034934076174,0,0
5,5,5564,3026.07182532583,49.1423134527054,0,0
6,1,5573,751.767198821607,46.5253287234202,0,0
6,2,5573,1355.86058738969,46.5683020304585,72802.903799304,13.0635032835643
6,3,5573,1699.51799395922,47.9514921707324,0,0
6,4,5572,2081.48468469501,48.0569717244042,0,0
6,5,5572,3036.95433233844,49.0008376665747,0,0
7,1,5575,750.435385417024,46.516807082781,0,0
7,2,5575,1368.13032900314,47.2967075091569,71464.0831303504,12.8186696197938
7,3,5574,1707.87550817967,47.30884131949,0,0
7,4,5574,2073.36017138807,48.1588477399653,0,0
7,5,5574,3021.30344586455,49.269185669215,0,0
8,1,5574,748.046091645253,46.3584418462156,0,0
8,2,5574,1355.10903626313,46.7652694843212,73411.4935494512,13.170343299148
8,3,5574,1707.39501263415,47.5275586688535,0,0
8,4,5573,2078.40260509923,48.1945791449964,0,0
8,5,5573,3010.1974808281,49.2907484064616,0,0
9,1,5571,740.188717383138,46.3427576310442,0,0
9,2,5571,1357.38238449091,46.887085302445,62938.0462951672,11.2974414459105
9,3,5571,1691.8194351267,47.8810925640528,0,0
9,4,5571,2057.16600214917,47.6618307456896,0,0
9,5,5571,3015.21198572239,49.2669305102485,0,0
10,1,5564,745.328160097911,46.3396712126896,0,0
10,2,5564,1352.33088162965,46.6835345626072,78670.51622926,14.1392013352372
10,3,5564,1692.86366696714,47.7769317638314,0,0
10,4,5564,2066.53307570971,47.7404401090211,0,0
10,5,5564,3021.24369366646,49.1483789655488,0,0
11,1,5573,750.238106016007,46.483205102544,0,0
11,2,5573,1360.16421245591,46.8932107353973,52868.0765473827,9.48646627442719
11,3,5572,1706.80604244684,47.7350179639165,0,0
11,4,5572,2081.07773018235,47.94432199617,0,0
11,5,5572,3023.30360072369,49.3704356882884,0,0
12,1,5571,746.541392756699,46.3096633663547,0,0
12,2,5570,1356.74121183456,46.3277109274729,65570.7791754224,11.772132706539
12,3,5570,1700.67862323838,47.7261633628157,0,0
12,4,5570,2074.5742739656,48.2178123101846,0,0
12,5,5570,3013.7913170796,49.1427535858062,0,0
13,1,5564,759.524476704013,46.3852503194982,0,0
13,2,5564,1355.84045062761,46.5151396915509,101077.118145486,18.1662685380097
13,3,5563,1701.35076905272,47.8202166024743,0,0
13,4,5563,2076.79521215637,47.9990416433142,0,0
13,5,5563,3011.99161691071,49.0554064202981,0,0
14,1,5568,753.571874931641,46.3825924483417,0,0
14,2,5568,1353.3762104008,46.6136799804545,66621.3751556566,11.9650458253694
14,3,5568,1693.24850682212,47.6420237267333,0,0
14,4,5567,2064.92202085353,47.9961842815471,0,0
14,5,5567,3000.21449499131,49.0340114091102,0,0
15,1,5572,742.407379526631,46.3829399219625,0,0
15,2,5572,1356.07477043617,46.8579469207344,61739.7254263684,11.0803527326577
15,3,5572,1702.41161610353,47.5925241733437,0,0
15,4,5572,2074.90321078918,48.1229915451848,0,0
15,5,5571,3026.02966930156,49.2351959527258,0,0
16,1,5572,754.204888803022,46.3326796195343,0,0
16,2,5572,1361.1738129589,46.7204092432367,84102.0108105246,15.0936846393619
16,3,5572,1696.31337604013,47.8793609490775,0,0
16,4,5571,2070.95032655749,48.1071487211762,0,0
16,5,5571,3015.17192757047,49.0802560595914,0,0
17,1,5570,751.559587991635,46.5519366872576,0,0
17,2,5570,1367.66177468039,46.9457129875943,49140.4338248418,8.82234000445994
17,3,5570,1707.39517713826,47.649884752978,0,0
17,4,5570,2074.10306654913,48.332317637095,0,0
17,5,5570,3030.15114719446,49.0738398300427,0,0
18,1,5574,725.656687568428,46.4469789757319,0,0
18,2,5574,1352.60366296119,46.8832400570755,66126.7071160215,11.8634207240799
18,3,5574,1693.87905010653,47.5539867290367,0,0
18,4,5574,2076.86660229504,47.9412393663377,0,0
18,5,5574,3027.83003025593,49.1019777280245,0,0
19,1,5572,744.294098170849,46.6907341121011,0,0
19,2,5571,1361.44992529381,46.7601130834518,55369.1721744542,9.9388210688304
19,3,5571,1706.01838052738,47.5723227783918,0,0
19,4,5571,2077.79290242135,48.22292115564,0,0
19,5,5571,3023.08436890151,49.254715159071,0,0
