"num_priority_groups","run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
2,76,582,1094.02812223073,46.0711516494218,0,0
3,76,55,942.978806072301,45.4851215463207,0,0
NA,76,20221,1726.09565309581,47.100226975537,0,0
1,77,6665,1581.57909847858,45.9853081785678,0,0
2,77,582,1094.02812223073,46.0711516494218,0,0
3,77,55,942.978806072301,45.4851215463207,0,0
NA,77,20221,1726.09565309581,47.100226975537,0,0
1,78,6665,1581.57909847858,45.9853081785678,0,0
2,78,582,1094.02812223073,46.0711516494218,0,0
3,78,55,942.978806072301,45.4851215463207,0,0
NA,78,20221,1726.09565309581,47.100226975537,0,0
1,79,6665,1581.57909847858,45.9853081785678,0,0
2,79,582,1094.02812223073,46.0711516494218,0,0
3,79,55,942.978806072301,45.4851215463207,0,0
NA,79,20221,1726.09565309581,47.100226975537,0,0
1,80,6665,1581.57909847858,45.9853081785678,0,0
2,80,582,1094.02812223073,46.0711516494218,0,0
3,80,55,942.978806072301,45.4851215463207,0,0
NA,80,20221,1726.09565309581,47.100226975537,0,0
1,81,6665,1581.57909847858,45.9853081785678,0,0
2,81,582,1094.02812223073,46.0711516494218,0,0
3,81,55,942.978806072301,45.4851215463207,0,0
NA,81,20221,1726.09565309581,47.100226975537,0,0
1,82,6665,1581.57909847858,45.9853081785678,0,0
2,82,582,1094.02812223073,46.0711516494218,0,0
3,82,55,942.978806072301,45.4851215463207,0,0
NA,82,20221,1726.09565309581,47.100226975537,0,0
1,83,6665,1581.57909847858,45.9853081785678,0,0
2,83,582,1094.02812223073,46.0711516494218,0,0
3,83,55,942.978806072301,45.4851215463207,0,0
NA,83,20221,1726.09565309581,47.100226975537,0,0
1,84,6665,1581.57909847858,45.9853081785678,0,0
2,84,582,1094.02812223073,46.0711516494218,0,0
3,84,55,942.978806072301,45.4851215463207,0,0
NA,84,20221,1726.09565309581,47.100226975537,0,0
1,85,6665,1581.57909847858,45.9853081785678,0,0
2,85,582,1094.02812223073,46.0711516494218,0,0
3,85,55,942.978806072301,45.4851215463207,0,0
NA,85,20221,1726.09565309581,47.100226975537,0,0
1,86,6665,1581.57909847858,45.9853081785678,0,0
2,86,582,1094.02812223073,46.0711516494218,0,0
3,86,55,942.978806072301,45.4851215463207,0,0
NA,86,20221,1726.09565309581,47.100226975537,0,0
1,87,6665,1581.57909847858,45.9853081785678,0,0
2,87,582,1094.02812223073,46.0711516494218,0,0
3,87,55,942.978806072301,45.4851215463207,0,0
NA,87,20221,1726.09565309581,47.100226975537,0,0
1,88,6665,1581.57909847858,45.9853081785678,0,0
2,88,582,1094.02812223073,46.0711516494218,0,0
3,88,55,942.978806072301,45.4851215463207,0,0
NA,88,20221,1726.09565309581,47.100226975537,0,0
1,89,6665,1581.57909847858,45.9853081785678,0,0
2,89,582,1094.02812223073,46.0711516494218,0,0
3,89,55,942.978806072301,45.4851215463207,0,0
NA,89,20221,1726.09565309581,47.100226975537,0,0
1,90,6665,1581.57909847858,45.9853081785678,0,0
2,90,582,1094.02812223073,46.0711516494218,0,0
3,90,55,942.978806072301,45.4851215463207,0,0
NA,90,20221,1726.09565309581,47.100226975537,0,0
1,91,6665,1581.57909847858,45.9853081785678,0,0
2,91,582,1094.02812223073,46.0711516494218,0,0
3,91,55,942.978806072301,45.4851215463207,0,0
NA,91,20221,1726.09565309581,47.100226975537,0,0
1,92,6665,1581.57909847858,45.9853081785678,0,0
2,92,582,1094.02812223073,46.0711516494218,0,0
3,92,55,942.978806072301,45.4851215463207,0,0
NA,92,20221,1726.09565309581,47.100226975537,0,0
1,93,6665,1581.57909847858,45.9853081785678,0,0
