"run_id","income_quintile","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,1,5576,751.305540594357,46.4725730804729,34768.3815839063,6.23536255091576
1,2,5576,1361.82645099588,46.6648234034181,0,0
1,3,5575,1699.07645180266,47.6702359495314,0,0
1,4,5575,2066.47692635497,48.2304278453074,0,0
1,5,5575,3017.9837043883,49.1633891649591,0,0
2,1,5574,746.499820588478,46.6345444060336,31195.3186069946,5.59657671456667
2,2,5573,1360.31311171283,46.772909085329,0,0
2,3,5573,1701.1674338159,47.5825481853051,0,0
2,4,5573,2079.53728464084,47.828713690317,0,0
2,5,5573,3011.66341343646,49.3019092848115,0,0
3,1,5569,721.08112400654,46.5054511694491,35630.1418302992,6.39794250858308
3,2,5569,1352.86376199255,47.0394369277038,0,0
3,3,5569,1702.57366145325,47.5150190220723,0,0
3,4,5568,2069.87537952945,47.9525010938159,0,0
3,5,5568,3025.471495177,49.1766969979636,0,0
4,1,5572,740.068952878068,46.6331226487113,37253.0594740219,6.68576085319847
4,2,5572,1351.69592467101,46.6784329312741,0,0
4,3,5572,1704.72260024479,47.5755433427387,0,0
4,4,5572,2072.57317521839,48.4273331318667,0,0
4,5,5571,3034.82622696472,49.1762089042514,0,0
5,1,5579,723.854787892882,46.1112873189177,32973.7316607011,5.91033010587938
5,2,5579,1358.46927615366,46.8359535861024,0,0
5,3,5579,1698.10776697129,47.7279495107195,0,0
5,4,5579,2076.83640543778,48.0630615395099,0,0
5,5,5579,3020.09184430302,49.16657466941,0,0
6,1,5563,745.837253446438,46.1864547997472,25267.4807551367,4.54206017528973
6,2,5563,1362.5000299956,47.0213260923593,0,0
6,3,5562,1706.55523698692,47.7386665106024,0,0
6,4,5562,2075.34143717435,48.1888390733778,0,0
6,5,5562,3024.66926441697,48.8010495767842,0,0
7,1,5574,735.569055155721,46.3820859850015,24924.278475701,4.47152466374255
7,2,5574,1363.47310185395,47.1337194383976,0,0
7,3,5573,1707.0613066443,47.5750328021954,0,0
7,4,5573,2070.57563360894,48.2416409875707,0,0
7,5,5573,3015.68143538076,48.7395893666764,0,0
8,1,5571,738.803163040545,46.2217216420812,26275.831227107,4.71653764622276
8,2,5571,1356.5360914684,46.8254052552491,0,0
8,3,5571,1695.31725586877,47.7152805114493,0,0
8,4,5571,2060.27344454876,48.174816305252,0,0
8,5,5571,3011.33381814149,49.180910190325,0,0
9,1,5571,743.980457827427,46.4645837570061,36745.5606103391,6.5958644068101
9,2,5570,1355.49022100166,47.1825364319961,0,0
9,3,5570,1697.30141507847,47.6058912359856,0,0
9,4,5570,2072.15664670811,47.9982331265515,0,0
9,5,5570,3036.58882240707,49.1081139701468,0,0
10,1,5573,724.124350615078,46.4875200138325,35160.8420546311,6.30914086750963
10,2,5573,1353.45634598376,46.8289746032992,0,0
10,3,5573,1699.55812242965,47.5434473904804,0,0
10,4,5572,2081.22204699943,48.0903430019255,0,0
10,5,5572,3019.29930450555,49.2169694937834,0,0
11,1,5574,743.52927260527,46.3229157040426,40176.8525210626,7.20790321511707
11,2,5574,1357.81561802989,46.669156469591,0,0
11,3,5574,1701.29993896744,47.7286846957191,0,0
11,4,5573,2072.51613050373,48.1938563628911,0,0
11,5,5573,3024.71123690991,49.1815817769917,0,0
12,1,5564,743.860586037522,46.5232796227057,51297.1818344836,9.2194791219417
12,2,5563,1360.36990848351,46.6491271332699,0,0
12,3,5563,1701.43006316654,47.6353915038178,0,0
12,4,5563,2069.11173710569,48.1139540318157,0,0
12,5,5563,3014.96370256191,49.2742303715298,0,0
13,1,5577,739.990404614958,46.4811260255472,44964.3184799963,8.0624562452925
13,2,5577,1358.72437880782,46.6145818997529,0,0
13,3,5576,1700.46887942773,47.726640876619,0,0
13,4,5576,2066.28977720291,48.2280394747662,0,0
13,5,5576,3012.04957257488,49.1291776943379,0,0
14,1,5565,728.998537336857,46.2046973359145,37400.8856818593,6.72073417463778
14,2,5565,1361.76798747102,46.6606194587644,0,0
14,3,5565,1710.53115526953,47.5691957416853,0,0
14,4,5565,2074.04322944508,48.1620472200905,0,0
14,5,5565,3012.5751555057,49.3586253302673,0,0
15,1,5573,743.220139915903,46.5940324440372,32525.0778199276,5.83618837608606
15,2,5572,1359.10454459811,46.8190684398435,0,0
15,3,5572,1702.80218963053,47.6974981568656,0,0
15,4,5572,2070.02549374326,48.0201208741968,0,0
15,5,5572,3022.02334031582,49.2422544296757,0,0
16,1,5575,740.092641432299,46.5522669188173,38844.1168578073,6.96755459332867
16,2,5575,1355.40518443229,46.6090542870879,0,0
16,3,5575,1701.44020973361,47.7970223882144,0,0
16,4,5575,2082.19945031498,48.2841049294939,0,0
16,5,5575,3033.59327461603,49.1135942450349,0,0
17,1,5576,749.261930327699,46.6322158973792,52272.9971279806,9.37464080487457
