"run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,7741,1567.82280069359,46.5977758373732,34768.3815839063,4.49145867251082
2,7734,1572.31639283087,46.448626864247,31195.3186069946,4.03352968800034
3,7739,1567.21166166811,46.3300870524074,35630.1418302992,4.60397232592055
4,7740,1567.70016067771,46.5851086619248,37253.0594740219,4.81305677958939
5,7736,1554.20095987215,46.5120727322481,32973.7316607011,4.26237482687449
6,7738,1577.09732160064,46.5354650881614,25267.4807551367,3.26537616375507
7,7737,1579.9296009862,46.596154972841,24924.278475701,3.22143963754698
8,7743,1561.39941126277,46.4362812815681,26275.831227107,3.39349492794873
9,7733,1564.87728174089,46.5328214605575,36745.5606103391,4.75178593176504
10,7736,1559.36971054098,46.567695058273,35160.8420546311,4.54509333694818
11,7741,1567.68209748687,46.3912895116569,40176.8525210626,5.19013725888936
12,7737,1577.63189193777,46.4860769110835,51297.1818344836,6.63011268379005
13,7737,1570.4255135136,46.542497225117,44964.3184799963,5.8115960294683
14,7739,1558.90478420103,46.3872205969036,37400.8856818593,4.83278016305198
15,7738,1565.45821961014,46.4745202509108,32525.0778199276,4.20329255879137
16,7738,1575.79227347343,46.5697210639995,38844.1168578073,5.01991688521677
17,7746,1563.02934665518,46.6744107473549,52272.9971279806,6.74838589310361
18,7735,1561.6299810024,46.4063988401839,24990.6741534774,3.23085638700419
19,7744,1563.94437148258,46.4565102613641,55205.2140523065,7.12877247576272
20,7735,1558.54234181876,46.4517711900132,33136.5757777308,4.28397876893741
21,7743,1548.25346374512,46.3110080676401,34417.1713524043,4.444940120419
22,7742,1562.49716548697,46.3341233182374,48845.0487960208,6.30909956032301
23,7736,1579.72687257923,46.5684562399463,38251.4118049317,4.94459821676987
24,7740,1561.52692826734,46.5072624789264,34896.7774373804,4.50862757588894
25,7729,1563.21356475247,46.5925785476798,55587.128521166,7.19202076868496
26,7735,1567.3777467282,46.5018643745185,47403.2960134097,6.12841577419646
27,7735,1569.54472500229,46.3743945590747,37796.6229932188,4.88644124023514
28,7741,1568.43792744107,46.3925474948797,29410.4355077089,3.79930700267522
29,7741,1582.38892235729,46.4552874125827,34601.1783343648,4.46985897614841
30,7740,1558.62943038123,46.484023677104,46807.8364212401,6.04752408543153
31,7737,1562.97283076782,46.6583397086653,26223.5389386821,3.38936783490786
32,7729,1561.51798123117,46.4729665616467,22198.6182663409,2.87212036050471
33,7737,1568.32556896881,46.3329732189015,51094.2454632814,6.60388334797484
34,7732,1565.87002544837,46.5640916553121,44215.2815305979,5.71847924606801
35,7740,1566.21144755183,46.3647632817518,26648.7192992028,3.44298698956108
36,7738,1575.32005853341,46.7569053045472,44849.964543379,5.7960667541198
37,7733,1560.42582825841,46.3509609238223,38897.9067181147,5.03011854624527
38,7738,1578.76568294417,46.6091716106858,23491.588399947,3.03587340397351
39,7741,1571.99568505386,46.641728570283,20603.0429965411,2.66154799076878
40,7737,1566.64122784412,46.4324811069102,44194.2653794384,5.71206738780386
41,7736,1565.75677587321,46.5020034905384,33305.8349275909,4.30530441152934
42,7738,1576.26873061905,46.4862901039067,26157.2764914957,3.3803665664895
43,7729,1568.14652491386,46.4918423344258,33603.0648123969,4.34766008699663
44,7739,1561.98738206551,46.5929874851536,46191.1225848623,5.96861643427604
45,7733,1557.98802310765,46.5590218673726,42563.9161268109,5.50419192122215
46,7735,1564.13486616345,46.447025560533,26742.1521572675,3.45729181089431
47,7740,1566.58794891339,46.5209084765909,24991.6369540317,3.22889366331159
48,7746,1563.20551150038,46.3497914384348,33225.834369477,4.28941832810185
49,7741,1579.27410562579,46.5077629816666,60658.4841905843,7.83600105807832
50,7740,1572.19411240878,46.5712567318808,24146.9174577923,3.11975677749254
51,7736,1581.4844066828,46.5393881475144,29454.2461018967,3.80742581461953
52,7739,1587.1789119416,46.6774635076018,33677.3569058928,4.35164193124342
53,7742,1566.65244478816,46.5980437212095,50538.7351514265,6.52786555817961
54,7740,1563.86032376375,46.4526818436156,24754.4095340141,3.19824412584161
55,7739,1564.13074946466,46.7456067473032,35251.2634465155,4.55501530514479
56,7739,1563.07166529722,46.5201486492134,29461.6938982142,3.80691224941391
57,7735,1554.39876698645,46.6206175235404,28710.8015829059,3.71180369526902
58,7736,1554.09049571868,46.4892419533272,29765.8863328632,3.84771022917053
59,7739,1554.80126377863,46.4843689617659,37981.6367405754,4.90782229494449
60,7731,1551.15970163756,46.3939864134854,61871.1121401639,8.00298954083093
61,7734,1563.80956484752,46.6666494364449,28296.078090986,3.65866021347116
62,7736,1564.20149938038,46.5738026794679,39517.649744929,5.1082794396237
63,7741,1569.47684891723,46.4676933487434,29078.144733237,3.75638092407144
64,7741,1564.15115435651,46.6273190931621,28014.3016088687,3.61895124775465
65,7737,1562.60766254331,46.5260365802007,37716.2698010509,4.87479252953999
66,7740,1568.97815013541,46.3342136260759,30667.2838425971,3.96218137501254
67,7735,1570.61878881178,46.3908551809779,37007.3444090526,4.78440134570816
68,7742,1572.47584766274,46.5743361063721,40649.9827975748,5.25057902319489
69,7738,1572.13907159108,46.4571891021594,27557.2155723276,3.56128399745768
70,7731,1576.98484851224,46.5309127465366,39982.2456296904,5.17167838956026
71,7737,1565.6467802735,46.5487059776265,24010.2847256533,3.10330680181638
72,7735,1579.10600646938,46.4516175561804,38892.6185607007,5.02813426770532
73,7736,1558.80840678502,46.3794245723826,29191.7257619282,3.77349092062154
74,7729,1567.81414052966,46.5408833672423,20859.891096734,2.69891203218192
75,7729,1567.67727181172,46.4810469555654,58450.7107238764,7.56251917762666
