"run_id","income_quintile","count","hh_income","SF_12_MCS","total_cost","mean_cost"
1,1,1507,370.132401850649,43.6801811540883,0,0
1,2,1507,1008.20227241579,45.4044721636507,0,0
1,3,1506,1363.6276305336,45.6855111624225,0,0
1,4,1506,1762.29681356042,46.8712915795248,0,0
1,5,1506,3127.58555208217,47.6902332367005,0,0
2,1,1507,370.132401850649,43.6801811540883,0,0
2,2,1507,1008.20227241579,45.4044721636507,0,0
2,3,1506,1363.6276305336,45.6855111624225,0,0
2,4,1506,1762.29681356042,46.8712915795248,0,0
2,5,1506,3127.58555208217,47.6902332367005,0,0
3,1,1507,370.132401850649,43.6801811540883,0,0
3,2,1507,1008.20227241579,45.4044721636507,0,0
3,3,1506,1363.6276305336,45.6855111624225,0,0
3,4,1506,1762.29681356042,46.8712915795248,0,0
3,5,1506,3127.58555208217,47.6902332367005,0,0
4,1,1507,370.132401850649,43.6801811540883,0,0
4,2,1507,1008.20227241579,45.4044721636507,0,0
4,3,1506,1363.6276305336,45.6855111624225,0,0
4,4,1506,1762.29681356042,46.8712915795248,0,0
4,5,1506,3127.58555208217,47.6902332367005,0,0
5,1,1507,370.132401850649,43.6801811540883,0,0
5,2,1507,1008.20227241579,45.4044721636507,0,0
5,3,1506,1363.6276305336,45.6855111624225,0,0
5,4,1506,1762.29681356042,46.8712915795248,0,0
5,5,1506,3127.58555208217,47.6902332367005,0,0
6,1,1507,370.132401850649,43.6801811540883,0,0
6,2,1507,1008.20227241579,45.4044721636507,0,0
6,3,1506,1363.6276305336,45.6855111624225,0,0
6,4,1506,1762.29681356042,46.8712915795248,0,0
6,5,1506,3127.58555208217,47.6902332367005,0,0
7,1,1507,370.132401850649,43.6801811540883,0,0
7,2,1507,1008.20227241579,45.4044721636507,0,0
7,3,1506,1363.6276305336,45.6855111624225,0,0
7,4,1506,1762.29681356042,46.8712915795248,0,0
7,5,1506,3127.58555208217,47.6902332367005,0,0
8,1,1507,370.132401850649,43.6801811540883,0,0
8,2,1507,1008.20227241579,45.4044721636507,0,0
8,3,1506,1363.6276305336,45.6855111624225,0,0
8,4,1506,1762.29681356042,46.8712915795248,0,0
8,5,1506,3127.58555208217,47.6902332367005,0,0
9,1,1507,370.132401850649,43.6801811540883,0,0
9,2,1507,1008.20227241579,45.4044721636507,0,0
9,3,1506,1363.6276305336,45.6855111624225,0,0
9,4,1506,1762.29681356042,46.8712915795248,0,0
9,5,1506,3127.58555208217,47.6902332367005,0,0
10,1,1507,370.132401850649,43.6801811540883,0,0
10,2,1507,1008.20227241579,45.4044721636507,0,0
10,3,1506,1363.6276305336,45.6855111624225,0,0
10,4,1506,1762.29681356042,46.8712915795248,0,0
10,5,1506,3127.58555208217,47.6902332367005,0,0
11,1,1507,370.132401850649,43.6801811540883,0,0
11,2,1507,1008.20227241579,45.4044721636507,0,0
11,3,1506,1363.6276305336,45.6855111624225,0,0
11,4,1506,1762.29681356042,46.8712915795248,0,0
11,5,1506,3127.58555208217,47.6902332367005,0,0
12,1,1507,370.132401850649,43.6801811540883,0,0
12,2,1507,1008.20227241579,45.4044721636507,0,0
12,3,1506,1363.6276305336,45.6855111624225,0,0
12,4,1506,1762.29681356042,46.8712915795248,0,0
12,5,1506,3127.58555208217,47.6902332367005,0,0
13,1,1507,370.132401850649,43.6801811540883,0,0
13,2,1507,1008.20227241579,45.4044721636507,0,0
13,3,1506,1363.6276305336,45.6855111624225,0,0
13,4,1506,1762.29681356042,46.8712915795248,0,0
13,5,1506,3127.58555208217,47.6902332367005,0,0
14,1,1507,370.132401850649,43.6801811540883,0,0
14,2,1507,1008.20227241579,45.4044721636507,0,0
14,3,1506,1363.6276305336,45.6855111624225,0,0
14,4,1506,1762.29681356042,46.8712915795248,0,0
14,5,1506,3127.58555208217,47.6902332367005,0,0
15,1,1507,370.132401850649,43.6801811540883,0,0
15,2,1507,1008.20227241579,45.4044721636507,0,0
15,3,1506,1363.6276305336,45.6855111624225,0,0
