,LSOA11CD
212635,S01010332
212636,S01010335
212637,S01010334
212638,S01010334
212639,S01010335
212640,S01010339
212641,S01010338
212642,S01010339
212643,S01010350
212644,S01010346
212645,S01010349
212646,S01010349
212647,S01010347
212648,S01010341
212649,S01010060
212650,S01010247
212651,S01010148
212652,S01010151
212653,S01010158
212654,S01010158
212655,S01010132
212656,S01010158
212657,S01010158
212658,S01010158
212659,S01010133
212660,S01010133
212661,S01010132
212662,S01010134
212663,S01010086
212664,S01010086
212665,S01009828
212666,S01010086
212667,S01009826
212668,S01009827
212669,S01010092
212670,S01009826
212671,S01009825
212672,S01010092
212673,S01009832
212674,S01009823
212675,S01010092
212676,S01009949
212677,S01009832
212678,S01009823
212679,S01010090
212680,S01010092
212681,S01009969
212682,S01010424
212683,S01010332
212684,S01010339
212685,S01010349
212686,S01009972
212687,S01010058
212688,S01010062
212689,S01010130
212690,S01010129
212691,S01010166
212692,S01010115
212693,S01010048
212694,S01010048
212695,S01009987
212696,S01009859
212697,S01009836
212698,S01009856
212699,S01009788
212700,S01009778
212701,S01010415
212702,S01010473
212703,S01010471
212704,S01010454
212705,S01009949
212706,S01009955
212707,S01009955
212708,S01009955
212709,S01009961
212710,S01009961
212711,S01009832
212712,S01009831
212713,S01009829
212714,S01009824
212715,S01009956
212716,S01009824
212717,S01009830
212718,S01009822
212719,S01010012
212720,S01009830
212721,S01009822
212722,S01010012
212723,S01009830
212724,S01009824
212725,S01009823
212726,S01009786
212727,S01009803
212728,S01009803
212729,S01009800
212730,S01009802
212731,S01009800
212732,S01009800
212733,S01009799
212734,S01009801
212735,S01009801
212736,S01009791
212737,S01009790
212738,S01009791
212739,S01009791
212740,S01009790
212741,S01009789
212742,S01009788
212743,S01009788
212744,S01009788
212745,S01009788
212746,S01009788
212747,S01009790
212748,S01009789
212749,S01009789
212750,S01009789
212751,S01009788
212752,S01010003
212753,S01010003
212754,S01009833
212755,S01009999
212756,S01010002
212757,S01009811
212758,S01010016
212759,S01009812
212760,S01009812
212761,S01009812
212762,S01009829
212763,S01009831
212764,S01009831
212765,S01009814
212766,S01009814
212767,S01009814
212768,S01009811
212769,S01009810
212770,S01009811
212771,S01009811
212772,S01009811
212773,S01009811
212774,S01009811
212775,S01009812
212776,S01009811
212777,S01009810
212778,S01009817
212779,S01010001
212780,S01009989
212781,S01009989
212782,S01009991
212783,S01009990
212784,S01009994
212785,S01009994
212786,S01009970
212787,S01009980
212788,S01009987
212789,S01009992
212790,S01009760
212791,S01009942
212792,S01009843
212793,S01009836
212794,S01009836
212795,S01009848
212796,S01009848
212797,S01009848
212798,S01009840
212799,S01009840
212800,S01009807
212801,S01009823
212802,S01009790
212803,S01009785
212804,S01010083
212805,S01010083
212806,S01010425
212807,S01010494
212808,S01010115
212809,S01010345
212810,S01009985
212811,S01010260
212812,S01010302
212813,S01010358
212814,S01010414
212815,S01010082
212816,S01009960
212817,S01009998
212818,S01010090
212819,S01009774
212820,S01010088
212821,S01010091
212822,S01010088
212823,S01010192
212824,S01009795
212825,S01009795
212826,S01010102
212827,S01010189
212828,S01010189
212829,S01010100
212830,S01010404
212831,S01009895
212832,S01009907
212833,S01010360
212834,S01010412
212835,S01010368
212836,S01010451
212837,S01010445
212838,S01010074
212839,S01009911
212840,S01009928
212841,S01009955
212842,S01009955
212843,S01009819
212844,S01009784
212845,S01009769
212846,S01009767
212847,S01010092
212848,S01009879
212849,S01010467
212850,S01010346
212851,S01010131
212852,S01010193
212853,S01010232
212854,S01009929
212855,S01009843
212856,S01010260
212857,S01010279
212858,S01009983
212859,S01010260
212860,S01010359
212861,S01010278
212862,S01009762
212863,S01009892
212864,S01009881
212865,S01009886
212866,S01009924
212867,S01010353
212868,S01009919
212869,S01010272
212870,S01009919
212871,S01010353
212872,S01009760
212873,S01010272
212874,S01010185
212875,S01010359
212876,S01010259
212877,S01009876
212878,S01010227
212879,S01009759
212880,S01010279
212881,S01010318
212882,S01010259
212883,S01010259
212884,S01010259
212885,S01010259
212886,S01010035
212887,S01010035
212888,S01010026
212889,S01010024
212890,S01010457
212891,S01010457
212892,S01010462
212893,S01010462
212894,S01010462
212895,S01010462
212896,S01010461
212897,S01010461
212898,S01009983
212899,S01010451
212900,S01010451
212901,S01010458
212902,S01010453
212903,S01010453
212904,S01010453
212905,S01010433
212906,S01010433
212907,S01010433
212908,S01010433
212909,S01010427
212910,S01010427
212911,S01010427
212912,S01010427
212913,S01010423
212914,S01010425
212915,S01010442
212916,S01010300
212917,S01010303
212918,S01010303
212919,S01010362
212920,S01010362
212921,S01010362
212922,S01010362
212923,S01010362
212924,S01010361
212925,S01010361
212926,S01010362
212927,S01010362
212928,S01009876
212929,S01010283
212930,S01010227
212931,S01009759
212932,S01009876
212933,S01010227
212934,S01010272
212935,S01010315
212936,S01010226
212937,S01009876
212938,S01009939
212939,S01009939
212940,S01010226
212941,S01009870
212942,S01009861
212943,S01010278
212944,S01009876
212945,S01010316
212946,S01009863
212947,S01010291
212948,S01010226
212949,S01010347
212950,S01009876
212951,S01009842
212952,S01009863
212953,S01010297
212954,S01010261
212955,S01010026
212956,S01010025
212957,S01010025
212958,S01010026
212959,S01010386
212960,S01010474
212961,S01010462
212962,S01010462
212963,S01010462
212964,S01010462
212965,S01010436
212966,S01010430
212967,S01010433
212968,S01010433
212969,S01010430
212970,S01010430
212971,S01010434
212972,S01010434
212973,S01010424
212974,S01010424
212975,S01010425
212976,S01010426
212977,S01010434
212978,S01010434
