,LSOA11CD
171770,S01007507
171771,S01007522
171772,S01007522
171773,S01007491
171774,S01007490
171775,S01007488
171776,S01007490
171777,S01007489
171778,S01007498
171779,S01007483
171780,S01007483
171781,S01007482
171782,S01007520
171783,S01007543
171784,S01007543
171785,S01007543
171786,S01007540
171787,S01007540
171788,S01007543
171789,S01007542
171790,S01007542
171791,S01007542
171792,S01007542
171793,S01007540
171794,S01007448
171795,S01007448
171796,S01007448
171797,S01007613
171798,S01007427
171799,S01007424
171800,S01007615
171801,S01007424
171802,S01007604
171803,S01007531
171804,S01007532
171805,S01007410
171806,S01007522
171807,S01007523
171808,S01007545
171809,S01007550
171810,S01007550
171811,S01007519
171812,S01007512
171813,S01007512
171814,S01007512
171815,S01007508
171816,S01007509
171817,S01007506
171818,S01007504
171819,S01007502
171820,S01007501
171821,S01007501
171822,S01007501
171823,S01007428
171824,S01007590
171825,S01007443
171826,S01007500
171827,S01007500
171828,S01007499
171829,S01007494
171830,S01007511
171831,S01007511
171832,S01007510
171833,S01007510
171834,S01007510
171835,S01007510
171836,S01007510
171837,S01007527
171838,S01007527
171839,S01007496
171840,S01007507
171841,S01007507
171842,S01007522
171843,S01007503
171844,S01007503
171845,S01007493
171846,S01007520
171847,S01007418
171848,S01007426
171849,S01007418
171850,S01007479
171851,S01007449
171852,S01007480
171853,S01007589
171854,S01007464
171855,S01007433
171856,S01007465
171857,S01007653
171858,S01007465
171859,S01007433
171860,S01007464
171861,S01007653
171862,S01007461
171863,S01007460
171864,S01007478
171865,S01007478
171866,S01007409
171867,S01007432
171868,S01007432
171869,S01007458
171870,S01007447
171871,S01007413
171872,S01007452
171873,S01007444
171874,S01007447
171875,S01007468
171876,S01007413
171877,S01007448
171878,S01007439
171879,S01007429
171880,S01007426
171881,S01007426
171882,S01007430
171883,S01007422
171884,S01007444
171885,S01007444
171886,S01007444
171887,S01007435
171888,S01007478
171889,S01007478
171890,S01007467
171891,S01007413
171892,S01007452
171893,S01007438
171894,S01007439
171895,S01007446
171896,S01007470
171897,S01007639
171898,S01007440
171899,S01007456
171900,S01007431
171901,S01007632
171902,S01007464
171903,S01007459
171904,S01007632
171905,S01007410
171906,S01007415
171907,S01007632
171908,S01007453
171909,S01007450
171910,S01007632
171911,S01007475
171912,S01007435
171913,S01007647
171914,S01007648
171915,S01007649
171916,S01007560
171917,S01007643
171918,S01007643
171919,S01007643
171920,S01007555
171921,S01007555
171922,S01007654
171923,S01007625
171924,S01007642
171925,S01007564
171926,S01007641
171927,S01007532
171928,S01007504
171929,S01007494
171930,S01007496
171931,S01007488
171932,S01007489
171933,S01007679
171934,S01007629
171935,S01007596
171936,S01007524
171937,S01007508
171938,S01007507
171939,S01007507
171940,S01007543
171941,S01007517
171942,S01007516
171943,S01007667
171944,S01007480
171945,S01007480
171946,S01007467
171947,S01007411
171948,S01007457
171949,S01007475
171950,S01007476
171951,S01007477
171952,S01007451
171953,S01007441
171954,S01007425
171955,S01007422
171956,S01007423
171957,S01007420
171958,S01007417
171959,S01007449
171960,S01007414
171961,S01007441
171962,S01007457
171963,S01007463
171964,S01007463
171965,S01007465
171966,S01007410
171967,S01007416
171968,S01007416
171969,S01007416
171970,S01007462
171971,S01007420
171972,S01007412
171973,S01007466
171974,S01007449
171975,S01007448
171976,S01007459
171977,S01007480
171978,S01007478
171979,S01007476
171980,S01007477
171981,S01007467
171982,S01007468
171983,S01007409
171984,S01007433
171985,S01007441
171986,S01007425
171987,S01007428
171988,S01007430
171989,S01007443
171990,S01007444
171991,S01007445
171992,S01007443
171993,S01007409
171994,S01007409
171995,S01007417
171996,S01007480
171997,S01007479
171998,S01007471
171999,S01007468
172000,S01007540
172001,S01007537
172002,S01007534
172003,S01007534
172004,S01007534
172005,S01007535
172006,S01007536
172007,S01007513
172008,S01007513
172009,S01007517
172010,S01007516
172011,S01007516
172012,S01007662
172013,S01007662
172014,S01007645
172015,S01007508
172016,S01007664
172017,S01007664
172018,S01007665
172019,S01007668
172020,S01007668
172021,S01007660
172022,S01007660
172023,S01007661
172024,S01007670
172025,S01007669
172026,S01007673
172027,S01007674
172028,S01007674
172029,S01007674
172030,S01007678
172031,S01007616
172032,S01007615
172033,S01007506
172034,S01007593
172035,S01007591
172036,S01007591
172037,S01007589
172038,S01007588
172039,S01007586
172040,S01007584
172041,S01007583
172042,S01007578
172043,S01007575
172044,S01007581
172045,S01007582
172046,S01007654
172047,S01007654
172048,S01007654
172049,S01007622
172050,S01007638
172051,S01007569
172052,S01007543
172053,S01007639
172054,S01007638
172055,S01007638
172056,S01007487
172057,S01007542
172058,S01007641
172059,S01007609
172060,S01007502
172061,S01007569
172062,S01007645
172063,S01007636
172064,S01007513
172065,S01007520
172066,S01007615
172067,S01007639
