FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01004120,S01004120,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001785,S01001785,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006327,S01006327,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006330,S01006330,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004122,S01004122,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004123,S01004123,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001780,S01001780,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001782,S01001782,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006329,S01006329,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001781,S01001781,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004905,S01004905,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001791,S01001791,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004118,S01004118,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004907,S01004907,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006324,S01006324,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004117,S01004117,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001793,S01001793,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001792,S01001792,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006323,S01006323,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006326,S01006326,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001788,S01001788,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001786,S01001786,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001787,S01001787,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006325,S01006325,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001790,S01001790,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004119,S01004119,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001789,S01001789,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004126,S01004126,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001770,S01001770,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006337,S01006337,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004902,S01004902,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001772,S01001772,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006335,S01006335,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01006336,S01006336,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001771,S01001771,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004128,S01004128,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001767,S01001767,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001766,S01001766,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006339,S01006339,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004127,S01004127,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001769,S01001769,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006338,S01006338,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001768,S01001768,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001777,S01001777,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006332,S01006332,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006333,S01006333,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001776,S01001776,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001779,S01001779,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006331,S01006331,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004904,S01004904,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001778,S01001778,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004903,S01004903,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001774,S01001774,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001773,S01001773,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004125,S01004125,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001775,S01001775,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004124,S01004124,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006334,S01006334,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001700,S01001700,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006379,S01006379,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004155,S01004155,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01004885,S01004885,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006378,S01006378,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001702,S01001702,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001701,S01001701,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004154,S01004154,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004160,S01004160,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006381,S01006381,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004884,S01004884,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001696,S01001696,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006380,S01006380,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001699,S01001699,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001697,S01001697,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001698,S01001698,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001707,S01001707,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001708,S01001708,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004152,S01004152,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01006375,S01006375,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001709,S01001709,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004151,S01004151,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004887,S01004887,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006374,S01006374,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004886,S01004886,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001704,S01001704,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001703,S01001703,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006377,S01006377,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006376,S01006376,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001706,S01001706,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004153,S01004153,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01001705,S01001705,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001686,S01001686,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001687,S01001687,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006388,S01006388,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004162,S01004162,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001688,S01001688,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006386,S01006386,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006387,S01006387,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004882,S01004882,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004158,S01004158,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004881,S01004881,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
