"","LSOA11CD"
"355","E01012043"
"356","E01012042"
"357","E01012044"
"358","E01012061"
"359","E01012076"
"360","E01012084"
"361","E01012084"
"362","E01032552"
"363","E01012090"
"364","E01012089"
"365","E01012009"
"366","E01012046"
"367","E01012055"
"368","E01012053"
"369","E01011990"
"370","E01011988"
"371","E01011997"
"372","E01012003"
"373","E01032540"
"374","E01032540"
"375","E01012005"
"376","E01033465"
"377","E01011997"
"378","E01033465"
"379","E01033465"
"380","E01012005"
"381","E01011949"
"382","E01011949"
"383","E01011953"
"384","E01011953"
"385","E01011952"
"386","E01011953"
"387","E01011952"
"388","E01033466"
"389","E01011957"
"390","E01032540"
"391","E01011955"
"392","E01033466"
"393","E01033466"
"394","E01011962"
"395","E01011961"
"396","E01011974"
"397","E01011977"
"398","E01011978"
"399","E01011977"
"400","E01011979"
"401","E01012044"
"402","E01012055"
"403","E01012050"
"404","E01012050"
"405","E01012050"
"406","E01012018"
"407","E01012051"
"408","E01012064"
"409","E01012008"
"410","E01012078"
"411","E01012016"
"412","E01012051"
"413","E01012012"
"414","E01012008"
"415","E01012078"
"416","E01012056"
"417","E01012018"
"418","E01012092"
"419","E01012068"
"420","E01012061"
"421","E01012009"
"422","E01012017"
"423","E01012024"
"424","E01012056"
"425","E01012057"
"426","E01012057"
"427","E01012054"
"428","E01012065"
"429","E01012007"
"430","E01012025"
"431","E01012022"
"432","E01012030"
"433","E01012032"
"434","E01012032"
"435","E01012032"
"436","E01012034"
"437","E01012066"
"438","E01012066"
"439","E01032552"
"440","E01032553"
"441","E01012036"
"442","E01012011"
"443","E01012011"
"444","E01012011"
"445","E01012011"
"446","E01012011"
"447","E01012016"
"448","E01012015"
"449","E01012020"
"450","E01012021"
"451","E01012021"
"452","E01012021"
"453","E01012021"
"454","E01012020"
"455","E01012019"
"456","E01012019"
"457","E01012019"
"458","E01012027"
"459","E01033469"
"460","E01012044"
"461","E01012045"
"462","E01012045"
"463","E01012045"
"464","E01012012"
"465","E01012025"
"466","E01012014"
"467","E01012058"
"468","E01012013"
"469","E01012074"
"470","E01012013"
"471","E01012023"
"472","E01012081"
"473","E01012012"
"474","E01012023"
"475","E01012080"
"476","E01012037"
"477","E01012022"
"478","E01012058"
"479","E01012056"
"480","E01012060"
"481","E01012023"
"482","E01012014"
"483","E01012079"
"484","E01012079"
"485","E01012080"
"486","E01033468"
"487","E01033468"
"488","E01033468"
"489","E01012090"
"490","E01012010"
"491","E01012052"
"492","E01012062"
"493","E01012067"
"494","E01012065"
"495","E01012065"
"496","E01012065"
"497","E01012073"
"498","E01032593"
"499","E01012071"
"500","E01012027"
"501","E01012071"
"502","E01012071"
"503","E01012071"
"504","E01032593"
"505","E01012073"
"506","E01012041"
"507","E01012007"
"508","E01012080"
"509","E01033469"
"510","E01012027"
"511","E01012059"
"512","E01012018"
"513","E01012013"
"514","E01012014"
"515","E01012013"
"516","E01012017"
"517","E01012016"
"518","E01012018"
"519","E01012020"
"520","E01012018"
"521","E01012026"
"522","E01012026"
"523","E01012026"
"524","E01012044"
"525","E01012091"
"526","E01012014"
"527","E01012045"
"528","E01012014"
"529","E01012016"
"530","E01012045"
"531","E01012027"
"532","E01012090"
"533","E01012024"
"534","E01012024"
"535","E01012044"
"536","E01012024"
"537","E01012088"
"538","E01012058"
"539","E01012041"
"540","E01012024"
"541","E01012050"
"542","E01012088"
"543","E01012051"
"544","E01012058"
"545","E01012091"
"546","E01012030"
"547","E01012051"
"548","E01012059"
"549","E01012117"
"550","E01012043"
"551","E01012052"
"552","E01012011"
"553","E01012013"
"554","E01012015"
"555","E01012050"
"556","E01012075"
"557","E01012074"
"558","E01012046"
"559","E01012062"
"560","E01012008"
"561","E01012017"
"562","E01012020"
"563","E01012020"
"564","E01012061"
"565","E01012074"
"566","E01012077"
"567","E01012077"
"568","E01012074"
"569","E01012041"
"570","E01012080"
"571","E01012082"
"572","E01012083"
"573","E01012083"
"574","E01012012"
"575","E01012017"
"576","E01012016"
"577","E01012022"
"578","E01012026"
"579","E01012033"
"580","E01012034"
"581","E01012079"
"582","E01012082"
"583","E01032552"
"584","E01012064"
"585","E01012043"
"586","E01012042"
"587","E01012043"
"588","E01012043"
"589","E01012048"
"590","E01012048"
"591","E01012048"
"592","E01012048"
"593","E01012046"
"594","E01012049"
"595","E01012049"
"596","E01012049"
"597","E01012055"
"598","E01012062"
"599","E01012063"
"600","E01012063"
"601","E01012063"
"602","E01012062"
"603","E01012062"
"604","E01012067"
"605","E01012060"
"606","E01012067"
"607","E01012131"
"608","E01012067"
"609","E01032593"
"610","E01012073"
"611","E01032593"
"612","E01012073"
"613","E01033469"
"614","E01012038"
"615","E01012037"
"616","E01012036"
"617","E01012038"
"618","E01012038"
"619","E01012038"
