DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01006526,Garthdee - 01,2538,8,4,2,2796,3450,1073,2897,1906,5840,1454,924,670,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006527,Garthdee - 02,2030,6,3,2,2045,2228,1360,2072,2976,2692,3235,756,508,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006528,Garthdee - 03,3834,11,6,3,3529,4079,3178,3285,3717,3786,1723,1154,829,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006529,Garthdee - 04,3770,11,6,3,3619,4557,2612,4117,3842,1432,945,932,680,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006530,Garthdee - 05,2218,7,4,2,2282,2360,1021,2679,5745,2494,1626.5,785,548,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006531,Garthdee - 06,1611,5,3,2,1802,2419,320,1933,5143,2237,1122,946,655,1,Large Urban Areas,S02001239,Garthdee,S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006532,"Braeside, Mannofield, Broomhill and Seafiel",5977,18,9,5,5440,5265,6177,5684,3920,3342,6110,793,445,1,Large Urban Areas,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000074,Aberdeen Central
S01006533,"Braeside, Mannofield, Broomhill and Seafiel",6786,20,10,5,6688,6361,6781,6790,3089,4095,6946,717,475,1,Large Urban Areas,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006534,"Braeside, Mannofield, Broomhill and Seafiel",6831,20,10,5,6483,6616,6588,6760,4158,3383,6168,956,625,1,Large Urban Areas,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000074,Aberdeen Central
S01006535,"Braeside, Mannofield, Broomhill and Seafiel",6734,20,10,5,6182,6081,6174,6633,5586,4257,2839,1046,812,1,Large Urban Areas,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000074,Aberdeen Central
S01006536,"Braeside, Mannofield, Broomhill and Seafiel",5634,17,9,5,5325,5383,4874,5967,5925,1729,1197,1003,827,1,Large Urban Areas,S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000074,Aberdeen Central
S01006537,"Braeside, Mannofield, Broomhill and Seafiel",6664,20,10,5,6697,6758,6845,5227,2127,6866,6398,920,497,1,Large Urban Areas,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006538,"Braeside, Mannofield, Broomhill and Seafiel",6457,19,10,5,6724,6391,6537,6474,1286,6731,6461.5,548,335,1,Large Urban Areas,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006539,"Braeside, Mannofield, Broomhill and Seafiel",6727,20,10,5,6250.5,6109,6757,6374,3394,5867,6328,781,462,1,Large Urban Areas,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006540,"Braeside, Mannofield, Broomhill and Seafiel",6478,19,10,5,6516,5795,6561,6597,2417,5378,4761,933,633,1,Large Urban Areas,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006541,"Braeside, Mannofield, Broomhill and Seafiel",6548,19,10,5,5792,5861,6878,5596,3887,6463,6619,864,468,1,Large Urban Areas,S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
