DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01007251,Forfar East - 04,3351,10,5,3,3115,2765,2951,2867,5534,5524,3283,509,283,2,Other Urban Areas,S02001364,Forfar East,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007252,Forfar East - 05,4562,14,7,4,4352,4137,4034,4058,3565,4792,2016,695,411,2,Other Urban Areas,S02001364,Forfar East,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007253,Forfar East - 06,5444,16,8,4,5298.5,4839,4266,5862,2518,6658,5774,1286,763,2,Other Urban Areas,S02001364,Forfar East,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007254,Forfar Central - 01,1928,6,3,2,1769,1585,1607,2355,4106,3911,3263.5,799,461,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007255,Forfar Central - 02,1448,5,3,2,1463,1696,629,2443,4429,858,2564,792,505,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007256,Forfar Central - 03,1942,6,3,2,1863,2098,1210,2937,6271,360,2861,809,495,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007257,Forfar Central - 04,1206,4,2,1,1140,1415,766,2058,6828,107,1408,632,415,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007258,Forfar Central - 05,2982,9,5,3,2440,2368,3677,4001,6709,1453,2049,851,513,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007259,Forfar Central - 06,2415,7,4,2,2652,2233,2620,2247,6323,557,2869,868,517,2,Other Urban Areas,S02001365,Forfar Central,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007260,Forfar West - 01,1441,5,3,2,1470.5,1155,1454,2029,4283,1404,1591,859,575,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007261,Forfar West - 02,4649,14,7,4,4530.5,3950,3941,4152,3140,5721,5548,725,415,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007262,Forfar West - 03,3366,10,5,3,3799,3208,1304,4059,4733,3816,3752,710,429,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007263,Forfar West - 04,2980,9,5,3,2903,2568,3415,3139,2422,4327,3515,724,409,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007264,Forfar West - 05,4029,12,6,3,3536,3567,3434,4020,4246,4167,4607,745,409,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007265,Forfar West - 06,2376,7,4,2,2293,2259,1676,2570,6078,2324,3540,1122,676,2,Other Urban Areas,S02001366,Forfar West,S12000041,Angus,S08000030,Tayside,S13002869,Forfar and District,S16000081,Angus North and Mearns
S01007266,Kirriemuir Landward - 01,3225,10,5,3,3422,3311,3399,3886,962,5224,1945,649,408,5,Accessible Rural,S02001367,Kirriemuir Landward,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007267,Kirriemuir Landward - 02,3548,11,6,3,4670,3733,3892,5444,124,6735,5580,565,346,5,Accessible Rural,S02001367,Kirriemuir Landward,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007268,Kirriemuir Landward - 03,3894,12,6,3,4785.5,4458,3925,4674,254,6103,4828,577,395,5,Accessible Rural,S02001367,Kirriemuir Landward,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007269,Kirriemuir Landward - 04,4360,13,7,4,4518.5,3722,4906,4287,2320,2783,4218,496,294,5,Accessible Rural,S02001367,Kirriemuir Landward,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007270,Kirriemuir Landward - 05,4129,12,6,3,4524,4729,4803,4270,556,3559,4835,594,365,5,Accessible Rural,S02001367,Kirriemuir Landward,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007271,Kirriemuir - 01,4071,12,6,3,3681,3391,3240,3760,6662,3546,3798.5,968,590,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007272,Kirriemuir - 02,1357,4,2,1,1369,1022,1714,1495,6597,719,2872,821,522,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007273,Kirriemuir - 03,3901,12,6,3,3426,3117,4063,4366,5349,2281,3694,660,383,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007274,Kirriemuir - 04,2128,7,4,2,1992,1575,4166,2252,6967,326,2842,747,462,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007275,Kirriemuir - 05,5332,16,8,4,4423.5,4825,4500,4470,5834,6495,2904,612,337,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007276,Kirriemuir - 06,3939,12,6,3,3027,3258,4315,4212,4947,4578,3590,954,555,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007277,Kirriemuir - 07,5814,17,9,5,5305,5493,6122,5265,3211,3172,6807,760,420,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007278,Kirriemuir - 08,5888,17,9,5,6498.5,5874,6253,4919,1451,3999,6974,509,281,3,Accessible Small Towns,S02001368,Kirriemuir,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007279,Angus Glens - 01,3906,12,6,3,4837,5340,5429,5867,5,5034,4340,591,394,5,Accessible Rural,S02001369,Angus Glens,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007280,Angus Glens - 02,3862,12,6,3,4714,4991,4921,5983,34,5669,3815,559,336,5,Accessible Rural,S02001369,Angus Glens,S12000041,Angus,S08000030,Tayside,S13002867,Kirriemuir and Dean,S16000082,Angus South
S01007281,Angus Glens - 03,4133,12,6,3,5147,5150,5159,5104,78,6667,4275,879,568,5,Accessible Rural,S02001369,Angus Glens,S12000041,Angus,S08000030,Tayside,S13002868,Brechin and Edzell,S16000081,Angus North and Mearns
S01007282,Angus Glens - 04,3848,12,6,3,4416,5814.5,3981,6506,22,6385,2862,518,350,6,Remote Rural,S02001369,Angus Glens,S12000041,Angus,S08000030,Tayside,S13002868,Brechin and Edzell,S16000081,Angus North and Mearns
S01007283,Angus Glens - 05,4660,14,7,4,4113,3852,5279,4148,3690,4204,4525,959,489,5,Accessible Rural,S02001369,Angus Glens,S12000041,Angus,S08000030,Tayside,S13002868,Brechin and Edzell,S16000081,Angus North and Mearns
S01007284,"Mull, Iona, Coll and Tiree - 01",3054,9,5,3,4192,4066,4099,4346,30,4609,2552,795,454,6,Remote Rural,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007285,"Mull, Iona, Coll and Tiree - 02",3970,12,6,3,4565,5260,5389,4649,107,5980,2978,849,481,6,Remote Rural,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007286,"Mull, Iona, Coll and Tiree - 03",4793,14,7,4,4059,4377,5056,4096,4185,3763,3763,1032,627,6,Remote Rural,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007287,"Mull, Iona, Coll and Tiree - 04",3664,11,6,3,4666,4750,4079,5795,70,6172,1293,615,352,6,Remote Rural,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007288,"Mull, Iona, Coll and Tiree - 05",3958,12,6,3,5272,5174,5033,5006,81,5255,1113,544,337,6,Remote Rural,S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007289,Oban South - 01,4376,13,7,4,6379,5790,4777,5294,52,3720,4373,733,449,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007290,Oban South - 02,3343,10,5,3,3582,3714,2528,3222,2519,2796,1732,1028,671,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007291,Oban South - 03,2402,7,4,2,2297,2299,3705,1845,5327,1152,1593,653,391,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007292,Oban South - 04,5015,15,8,4,4956,4873,4269,4340,1996,6828,5388,763,483,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007293,Oban South - 05,2166,7,4,2,2079,2662,1346,3140,1827,2383,2575,747,471,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007294,Oban South - 06,4294,13,7,4,4375,4068,3230,3232,4068,5215,2279,852,531,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007295,Oban South - 07,609,2,1,1,559,656,1498,170,6952,1062,1323,477,293,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007296,Oban South - 08,1585,5,3,2,2625.5,1373.5,1198,1703,6581,160,493,544,390,4,Remote Small Towns,S02001371,Oban South,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007297,Oban North - 01,5236,16,8,4,5343,5684,4814,5859,4477,422,1890,849,564,4,Remote Small Towns,S02001372,Oban North,S12000035,Argyll and Bute,S08000022,Highland,S13002519,Oban South and the Isles,S16000083,Argyll and Bute
S01007298,Oban North - 02,3839,12,6,3,4260,4735,3171,3088,1308,6023,761,529,335,4,Remote Small Towns,S02001372,Oban North,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007299,Oban North - 03,3533,11,6,3,4210,3641,2558,3671,3035,1703,1102,829,547,4,Remote Small Towns,S02001372,Oban North,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007300,Oban North - 04,2279,7,4,2,2819,2357,2179,1694,2018,4340,1215,503,353,4,Remote Small Towns,S02001372,Oban North,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007301,Benderloch Trail - 01,4201,13,7,4,4830,4091,5274,5017,602,3022,5228,941,542,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007302,Benderloch Trail - 02,2659,8,4,2,2858,3362,2200,2562,1530,2753,2417,608,395,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007303,Benderloch Trail - 03,3393,10,5,3,3989,4095,4860,3532,202,6707,2510,989,575,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007304,Benderloch Trail - 04,3434,10,5,3,4589,5079,3371,5498,3,6928,2704.5,677,397,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007305,Benderloch Trail - 05,4979,15,8,4,6060,5915.5,5339,6204,182,6087,3950,751,440,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007306,Benderloch Trail - 06,4589,14,7,4,4430,5295,4327,5304,733,5237,4600,752,434,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007307,Benderloch Trail - 07,4671,14,7,4,5934,5818,4999,6030,93,5755,4602,880,564,6,Remote Rural,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007308,Loch Awe - 01,3166,10,5,3,3971,4771,3960,4540,43,3269,3567,727,440,6,Remote Rural,S02001374,Loch Awe,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007309,Loch Awe - 02,3669,11,6,3,5512,4847,3525,6120,16,6303,1089,695,427,6,Remote Rural,S02001374,Loch Awe,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007310,Loch Awe - 03,3416,10,5,3,4038,5010.5,4536,5344,10,6647,2002,815,461,6,Remote Rural,S02001374,Loch Awe,S12000035,Argyll and Bute,S08000022,Highland,S13002520,Oban North and Lorn,S16000083,Argyll and Bute
S01007311,Mid Argyll - 01,3592,11,6,3,3518,4265,2401,3910,2315,2558,3450,801,496,6,Remote Rural,S02001375,Mid Argyll,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007312,Mid Argyll - 02,3809,11,6,3,4020,4009,4089,5591,469,4708,4487,745,418,6,Remote Rural,S02001375,Mid Argyll,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007313,Mid Argyll - 03,3967,12,6,3,4772,5336,5901,5654,23,6078,2071,932,544,6,Remote Rural,S02001375,Mid Argyll,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007314,Mid Argyll - 04,4315,13,7,4,4365,4634,4935,6088,410,5777,3777,595,368,6,Remote Rural,S02001375,Mid Argyll,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007315,Greater Lochgilphead - 01,4475,13,7,4,3796,3769,4302,4208,5331,3318,4776,886,536,6,Remote Rural,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007316,Greater Lochgilphead - 02,1803,6,3,2,1825,974,3832,1775,5953,1447,3290.5,766,450,6,Remote Rural,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007317,Greater Lochgilphead - 03,2661,8,4,2,2942,2901,3647,2731,1324,1767,1343,735,478,6,Remote Rural,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007318,Greater Lochgilphead - 04,2800,9,5,3,2887,2427,4202,3420,932,4363,4966,580,332,6,Remote Rural,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007319,Greater Lochgilphead - 05,4224,13,7,4,4692,4415,3318,3749,1399,5361,4568,692,394,6,Remote Rural,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007320,Knapdale - 01,4617,14,7,4,6273,5898,5895,5986,11,6618,3683,752,448,6,Remote Rural,S02001377,Knapdale,S12000035,Argyll and Bute,S08000022,Highland,S13002518,Mid Argyll,S16000083,Argyll and Bute
S01007321,Knapdale - 02,4075,12,6,3,4914,4413,4574,5449,210,6734,3792,556,309,6,Remote Rural,S02001377,Knapdale,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007322,Knapdale - 03,3749,11,6,3,2922,3146,3205,4089,6051,6022,2544,705,434,6,Remote Rural,S02001377,Knapdale,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007323,Knapdale - 04,4383,13,7,4,3591,4265,4221,3909,4076,3452,4775,412,248,6,Remote Rural,S02001377,Knapdale,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007324,Whisky Isles - 01,3816,11,6,3,5122,6027.5,1994,6071,89,6594,3428,360,220,6,Remote Rural,S02001378,Whisky Isles,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007325,Whisky Isles - 02,3714,11,6,3,4265,4610,4950,4132,185,5849,3069,774,414,6,Remote Rural,S02001378,Whisky Isles,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007326,Whisky Isles - 03,4185,12,6,3,5477,4799,4270,4318,283,5877,3408,788,455,6,Remote Rural,S02001378,Whisky Isles,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007327,Whisky Isles - 04,2716,8,4,2,2959.5,2309,3018,1534,5943,3858,2525,654,389,6,Remote Rural,S02001378,Whisky Isles,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007328,Whisky Isles - 05,3897,12,6,3,3022,3862,3740,3249,5987,4760,1400,762,462,6,Remote Rural,S02001378,Whisky Isles,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007329,Kintyre Trail - 01,3439,10,5,3,3924.5,4393.5,3717,5041,195,4758,2850,677,397,6,Remote Rural,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007330,Kintyre Trail - 02,2932,9,5,3,3073,2660,4779,4081,465,5404,4367,713,386,6,Remote Rural,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002517,Kintyre and the Islands,S16000083,Argyll and Bute
S01007331,Kintyre Trail - 03,3640,11,6,3,4171,3806,4048,4410,438,6703,2581,981,597,6,Remote Rural,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007332,Kintyre Trail - 04,3850,12,6,3,3854,4076,5149,5441,373,6343,2556,487,290,6,Remote Rural,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007333,Campbeltown - 01,4510,13,7,4,4118,4617,3589,4111,2736,4055,5986,771,435,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007334,Campbeltown - 02,719,3,2,1,481,486,1611,889,6232,2566,1693,651,350,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007335,Campbeltown - 03,1876,6,3,2,1572,1643.5,2009,2520,4122,1755,2459,704,392,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007336,Campbeltown - 04,734,3,2,1,889,474,1521,1044,6661,52,1354.5,519,321,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007337,Campbeltown - 05,2439,7,4,2,1757,2109,2882,2354,6475,5746,3177,583,339,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007338,Campbeltown - 06,3818,11,6,3,3262,3621,2570,3566,5576,5009,4739,769,431,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007339,Campbeltown - 07,4385,13,7,4,3856,3365,3939,4374,4778,5567,5574,646,323,4,Remote Small Towns,S02001380,Campbeltown,S12000035,Argyll and Bute,S08000022,Highland,S13002516,South Kintyre,S16000083,Argyll and Bute
S01007340,Bute - 01,1705,5,3,2,1504,1125,3264,2878,1244,5431,3641,481,258,6,Remote Rural,S02001381,Bute,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007341,Bute - 02,4195,13,7,4,4119.5,3805,4992,4516,1431,4137,4934,663,339,6,Remote Rural,S02001381,Bute,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007342,Bute - 03,5989,18,9,5,6300,6634,5468,5751,1159,4763,6063,764,412,4,Remote Small Towns,S02001381,Bute,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007343,Bute - 04,3483,10,5,3,4726,3739.5,4630,4253,247,3193,3040,614,365,6,Remote Rural,S02001381,Bute,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007344,Rothesay Town - 01,2884,9,5,3,1987,2277,4343,3255,5459,4013,3957,443,239,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007345,Rothesay Town - 02,597,2,1,1,340,413,1613,761,5110,3498,2267,523,310,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007346,Rothesay Town - 03,558,2,1,1,787,285,718,1382,6516,157,1389,548,326,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007347,Rothesay Town - 04,1005,3,2,1,923,561,1627,1494,5350,1972,2921,551,309,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007348,Rothesay Town - 05,1945,6,3,2,1616,1358,2823,1805,5890,4460,2443.5,525,306,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007349,Rothesay Town - 06,1800,6,3,2,1133,1370,1855,3118,6072,3874,5231,479,251,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007350,Rothesay Town - 07,1039,3,2,1,583.5,913,1826,1902,6204,891,1955,553,309,4,Remote Small Towns,S02001382,Rothesay Town,S12000035,Argyll and Bute,S08000022,Highland,S13002523,Isle of Bute,S16000083,Argyll and Bute
S01007351,Cowal South - 01,3286,10,5,3,3650,2340,4505,4330,1274,6246,2443.5,656,364,6,Remote Rural,S02001383,Cowal South,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007352,Cowal South - 02,3390,10,5,3,4654,4644.5,3839,5240,7,6928,2231,526,287,6,Remote Rural,S02001383,Cowal South,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007353,Cowal South - 03,3912,12,6,3,5244.5,4662,3116,4988,214,6271,4466,672,355,6,Remote Rural,S02001383,Cowal South,S12000035,Argyll and Bute,S08000022,Highland,S13002522,Dunoon,S16000083,Argyll and Bute
S01007354,Cowal South - 04,3580,11,6,3,3669,3744,4947,3926,663,4355,3765,795,412,6,Remote Rural,S02001383,Cowal South,S12000035,Argyll and Bute,S08000022,Highland,S13002522,Dunoon,S16000083,Argyll and Bute
S01007355,Cowal North - 01,2617,8,4,2,3380,3349,3164,3794,126,3687,3802,892,477,6,Remote Rural,S02001384,Cowal North,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007356,Cowal North - 02,2865,9,5,3,3317,2484,4592,3359,609,5911,2094,647,345,6,Remote Rural,S02001384,Cowal North,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007357,Cowal North - 03,3638,11,6,3,3859,3829,5275,4387,412,4920,3058,732,383,6,Remote Rural,S02001384,Cowal North,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007358,Cowal North - 04,4740,14,7,4,5510,5708,5010,5268,555,2317,2485,900,596,5,Accessible Rural,S02001384,Cowal North,S12000035,Argyll and Bute,S08000022,Highland,S13002524,Lomond North,S16000096,Dumbarton
S01007359,Hunter's Quay - 01,2277,7,4,2,2221,2107,2900,2036,2720,3037,3747,812,474,4,Remote Small Towns,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007360,Hunter's Quay - 02,3984,12,6,3,4292,3420,4385,4399,1525,3723,4383,565,292,4,Remote Small Towns,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007361,Hunter's Quay - 03,3889,12,6,3,3939,2941,4807,3574,2495,5986,3823,1022,551,4,Remote Small Towns,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
S01007362,Hunter's Quay - 04,3352,10,5,3,3045,2682,3730,2640,5557,4358,4253,724,387,4,Remote Small Towns,S02001385,Hunter's Quay,S12000035,Argyll and Bute,S08000022,Highland,S13002521,Cowal,S16000083,Argyll and Bute
