"DataZone","Name","Council","% of children in poverty"
"S01010235","Dennistoun North - 02","Glasgow City",8.3
"S01010236","Dennistoun North - 03","Glasgow City",41.2
"S01010237","Dennistoun North - 04","Glasgow City",41
"S01010238","Dennistoun North - 05","Glasgow City",40.3
"S01010239","Alexandra Parade - 01","Glasgow City",28.7
"S01010240","Alexandra Parade - 02","Glasgow City",15.2
"S01010241","Alexandra Parade - 03","Glasgow City",11.8
"S01010242","Carntyne West and Haghill - 01","Glasgow City",38.4
"S01010243","Carntyne West and Haghill - 02","Glasgow City",71.4
"S01010244","Carntyne West and Haghill - 03","Glasgow City",55.9
"S01010245","Carntyne West and Haghill - 04","Glasgow City",57.1
"S01010246","Carntyne West and Haghill - 05","Glasgow City",36.7
"S01010247","Carntyne West and Haghill - 06","Glasgow City",37.4
"S01010248","Dennistoun - 01","Glasgow City",9.1
"S01010249","Dennistoun - 02","Glasgow City",12.8
"S01010250","Dennistoun - 03","Glasgow City",29.3
"S01010251","Dennistoun - 04","Glasgow City",19.3
"S01010252","Dennistoun - 05","Glasgow City",38.4
"S01010253","Dennistoun - 06","Glasgow City",29
"S01010254","Gallowgate North and Bellgrove - 01","Glasgow City",40.4
"S01010255","Gallowgate North and Bellgrove - 02","Glasgow City",64.4
"S01010256","Gallowgate North and Bellgrove - 03","Glasgow City",44.9
"S01010257","Gallowgate North and Bellgrove - 04","Glasgow City",23.8
"S01010258","Gallowgate North and Bellgrove - 05","Glasgow City",0
"S01010259","City Centre East - 01","Glasgow City",59.3
"S01010260","City Centre East - 02","Glasgow City",33.3
"S01010261","City Centre East - 03","Glasgow City",39.4
"S01010262","City Centre East - 04","Glasgow City",18.8
"S01010263","City Centre East - 05","Glasgow City",18.5
"S01010264","City Centre East - 06","Glasgow City",13.5
"S01010265","City Centre East - 07","Glasgow City",11.6
"S01010266","City Centre West - 01","Glasgow City",21.1
"S01010267","City Centre West - 02","Glasgow City",23.2
"S01010268","City Centre West - 03","Glasgow City",12.2
"S01010269","City Centre West - 04","Glasgow City",20.3
"S01010270","City Centre West - 05","Glasgow City",13.7
"S01010271","City Centre West - 06","Glasgow City",13.4
"S01010272","City Centre South - 01","Glasgow City",43.3
"S01010273","City Centre South - 02","Glasgow City",97.2
"S01010274","City Centre South - 03","Glasgow City",15.9
"S01010275","City Centre South - 04","Glasgow City",39.1
"S01010276","Anderston - 01","Glasgow City",0
"S01010277","Anderston - 02","Glasgow City",23.8
"S01010278","Anderston - 03","Glasgow City",72.3
"S01010279","Anderston - 04","Glasgow City",29.3
"S01010280","Anderston - 05","Glasgow City",11.5
"S01010281","Anderston - 06","Glasgow City",11.9
"S01010282","Finnieston and Kelvinhaugh - 01","Glasgow City",24.1
"S01010283","Finnieston and Kelvinhaugh - 02","Glasgow City",33
"S01010284","Finnieston and Kelvinhaugh - 03","Glasgow City",16
"S01010285","Finnieston and Kelvinhaugh - 04","Glasgow City",31.2
"S01010286","Finnieston and Kelvinhaugh - 05","Glasgow City",21.6
"S01010287","Finnieston and Kelvinhaugh - 06","Glasgow City",16.7
"S01010288","Finnieston and Kelvinhaugh - 07","Glasgow City",20
"S01010289","Woodlands - 01","Glasgow City",7.4
"S01010290","Woodlands - 02","Glasgow City",14.9
"S01010291","Woodlands - 03","Glasgow City",15.9
"S01010292","Woodlands - 04","Glasgow City",18.3
"S01010293","Woodlands - 05","Glasgow City",50.8
"S01010294","Woodlands - 06","Glasgow City",50
"S01010295","Woodlands - 07","Glasgow City",24
"S01010296","Woodlands - 08","Glasgow City",46
"S01010297","Woodside - 01","Glasgow City",39.8
"S01010298","Woodside - 02","Glasgow City",32.9
"S01010299","Woodside - 03","Glasgow City",38.6
"S01010300","Woodside - 04","Glasgow City",23.8
"S01010301","Firhill - 01","Glasgow City",24.1
"S01010302","Firhill - 02","Glasgow City",75.7
"S01010303","Firhill - 03","Glasgow City",81.8
"S01010304","Firhill - 04","Glasgow City",33
"S01010305","Firhill - 05","Glasgow City",26.2
"S01010306","Firhill - 06","Glasgow City",21.4
"S01010307","Firhill - 07","Glasgow City",10.5
"S01010308","Firhill - 08","Glasgow City",13.6
"S01010309","Keppochhill - 01","Glasgow City",44.8
"S01010310","Keppochhill - 02","Glasgow City",43.6
"S01010311","Keppochhill - 03","Glasgow City",54.2
"S01010312","Keppochhill - 04","Glasgow City",41.5
"S01010313","Keppochhill - 05","Glasgow City",47.8
"S01010314","Keppochhill - 06","Glasgow City",40.3
"S01010315","Ruchill - 01","Glasgow City",35.3
"S01010316","Ruchill - 02","Glasgow City",35.8
"S01010317","Ruchill - 03","Glasgow City",15.6
"S01010318","Ruchill - 04","Glasgow City",33.9
"S01010319","Ruchill - 05","Glasgow City",19.2
"S01010320","Ruchill - 06","Glasgow City",32.4
"S01010321","Ruchill - 07","Glasgow City",40.8
"S01010322","Ruchill - 08","Glasgow City",15.6
"S01010323","Possil Park - 01","Glasgow City",58.3
"S01010324","Possil Park - 02","Glasgow City",23.6
"S01010325","Possil Park - 03","Glasgow City",33.9
"S01010326","Possil Park - 04","Glasgow City",47.4
"S01010327","Possil Park - 05","Glasgow City",43.3
"S01010328","Possil Park - 06","Glasgow City",22
"S01010329","Possil Park - 07","Glasgow City",22.6
"S01010330","Milton West - 01","Glasgow City",44
"S01010331","Milton West - 02","Glasgow City",27.3
"S01010332","Milton West - 03","Glasgow City",31.4
"S01010333","Milton West - 04","Glasgow City",40.6
"S01010334","Milton West - 05","Glasgow City",24
"S01010335","Milton East - 01","Glasgow City",33.7
"S01010336","Milton East - 02","Glasgow City",41.5
"S01010337","Milton East - 03","Glasgow City",30.1
"S01010338","Milton East - 04","Glasgow City",50
"S01010339","Milton East - 05","Glasgow City",50
"S01010340","Summerston Central and West - 01","Glasgow City",33.7
"S01010341","Summerston Central and West - 02","Glasgow City",13.7
"S01010342","Summerston Central and West - 03","Glasgow City",13.8
"S01010343","Summerston Central and West - 04","Glasgow City",23
"S01010344","Summerston Central and West - 05","Glasgow City",45.5
"S01010345","Summerston Central and West - 06","Glasgow City",7.7
"S01010346","Summerston North - 01","Glasgow City",7.3
"S01010347","Summerston North - 02","Glasgow City",39.6
"S01010348","Summerston North - 03","Glasgow City",20.3
"S01010349","Summerston North - 04","Glasgow City",36.8
"S01010350","Maryhill East - 01","Glasgow City",35.9
"S01010351","Maryhill East - 02","Glasgow City",32.1
"S01010352","Maryhill East - 03","Glasgow City",27.9
"S01010353","Maryhill East - 04","Glasgow City",77.2
"S01010354","Maryhill West - 01","Glasgow City",28.1
"S01010355","Maryhill West - 02","Glasgow City",33.5
"S01010356","Maryhill West - 03","Glasgow City",27
"S01010357","Maryhill West - 04","Glasgow City",52.9
"S01010358","Wyndford - 01","Glasgow City",46.4
"S01010359","Wyndford - 02","Glasgow City",41.3
"S01010360","Wyndford - 03","Glasgow City",34.8
"S01010361","Wyndford - 04","Glasgow City",31.6
"S01010362","Wyndford - 05","Glasgow City",27.4
"S01010363","Kelvindale - 01","Glasgow City",11.7
"S01010364","Kelvindale - 02","Glasgow City",4.2
"S01010365","Kelvindale - 03","Glasgow City",0
"S01010366","Kelvindale - 04","Glasgow City",13.1
"S01010367","Kelvindale - 05","Glasgow City",4.5
"S01010368","Kelvindale - 06","Glasgow City",8.5
"S01010369","North Kelvin - 01","Glasgow City",20.5
"S01010370","North Kelvin - 02","Glasgow City",0
"S01010371","North Kelvin - 03","Glasgow City",0
"S01010372","North Kelvin - 04","Glasgow City",5.3
"S01010373","North Kelvin - 05","Glasgow City",11.7
"S01010374","Kelvingrove and University - 01","Glasgow City",7.8
"S01010375","Kelvingrove and University - 02","Glasgow City",0
"S01010376","Kelvingrove and University - 03","Glasgow City",11.6
"S01010377","Kelvingrove and University - 04","Glasgow City",17.9
"S01010378","Kelvingrove and University - 05","Glasgow City",12.7
"S01010379","Kelvingrove and University - 06","Glasgow City",23.5
"S01010380","Kelvingrove and University - 07","Glasgow City",0
"S01010381","Hillhead - 01","Glasgow City",0
"S01010382","Hillhead - 02","Glasgow City",10.2
"S01010383","Hillhead - 03","Glasgow City",47
"S01010384","Hillhead - 04","Glasgow City",8.2
"S01010385","Hillhead - 05","Glasgow City",20.7
"S01010386","Hillhead - 06","Glasgow City",21.7
"S01010387","Hillhead - 07","Glasgow City",21.8
"S01010388","Glasgow Harbour and Partick South - 01","Glasgow City",46.2
"S01010389","Glasgow Harbour and Partick South - 02","Glasgow City",4.7
"S01010390","Glasgow Harbour and Partick South - 03","Glasgow City",54.9
"S01010391","Glasgow Harbour and Partick South - 04","Glasgow City",25
"S01010392","Glasgow Harbour and Partick South - 05","Glasgow City",2.8
"S01010393","Partick - 01","Glasgow City",8.2
"S01010394","Partick - 02","Glasgow City",23.9
"S01010395","Partick - 03","Glasgow City",16.3
"S01010396","Partick - 04","Glasgow City",19.8
"S01010397","Partickhill and Hyndland - 01","Glasgow City",0
"S01010398","Partickhill and Hyndland - 02","Glasgow City",10.5
"S01010399","Partickhill and Hyndland - 03","Glasgow City",11.5
"S01010400","Partickhill and Hyndland - 04","Glasgow City",4.8
"S01010401","Partickhill and Hyndland - 05","Glasgow City",0
"S01010402","Partickhill and Hyndland - 06","Glasgow City",4.5
"S01010403","Dowanhill - 01","Glasgow City",0
"S01010404","Dowanhill - 02","Glasgow City",0
"S01010405","Dowanhill - 03","Glasgow City",0
"S01010406","Dowanhill - 04","Glasgow City",6.3
"S01010407","Dowanhill - 05","Glasgow City",0
"S01010408","Kelvinside and Jordanhill - 01","Glasgow City",6.5
"S01010409","Kelvinside and Jordanhill - 02","Glasgow City",3.7
"S01010410","Kelvinside and Jordanhill - 03","Glasgow City",7
"S01010411","Kelvinside and Jordanhill - 04","Glasgow City",2.1
"S01010412","Kelvinside and Jordanhill - 05","Glasgow City",0
"S01010413","Kelvinside and Jordanhill - 06","Glasgow City",0
"S01010414","Kelvinside and Jordanhill - 07","Glasgow City",3.3
"S01010415","Broomhill - 01","Glasgow City",25.9
"S01010416","Broomhill - 02","Glasgow City",8.2
"S01010417","Broomhill - 03","Glasgow City",0
"S01010418","Broomhill - 04","Glasgow City",0
"S01010419","Broomhill - 05","Glasgow City",7.4
"S01010420","Victoria Park - 01","Glasgow City",4.3
"S01010421","Victoria Park - 02","Glasgow City",0
"S01010422","Victoria Park - 03","Glasgow City",6.4
"S01010423","Whiteinch - 01","Glasgow City",48.6
"S01010424","Whiteinch - 02","Glasgow City",37.6
"S01010425","Whiteinch - 03","Glasgow City",30.8
"S01010426","Whiteinch - 04","Glasgow City",23
"S01010427","Scotstoun North and East - 01","Glasgow City",52.3
"S01010428","Scotstoun North and East - 02","Glasgow City",13
"S01010429","Scotstoun North and East - 03","Glasgow City",3.9
"S01010430","Scotstoun North and East - 04","Glasgow City",62
"S01010431","Scotstoun North and East - 05","Glasgow City",5
"S01010432","Scotstoun South and West - 01","Glasgow City",57.6
"S01010433","Scotstoun South and West - 02","Glasgow City",66.9
"S01010434","Scotstoun South and West - 03","Glasgow City",61.2
"S01010435","Scotstoun South and West - 04","Glasgow City",27
"S01010436","Scotstoun South and West - 05","Glasgow City",50
"S01010437","Yoker South - 01","Glasgow City",39.1
"S01010438","Yoker South - 02","Glasgow City",44.6
"S01010439","Yoker South - 03","Glasgow City",33.7
"S01010440","Yoker South - 04","Glasgow City",48.2
"S01010441","Yoker South - 05","Glasgow City",17.4
"S01010442","Yoker South - 06","Glasgow City",47.2
"S01010443","Yoker North - 01","Glasgow City",16.7
"S01010444","Yoker North - 02","Glasgow City",33.8
"S01010445","Yoker North - 03","Glasgow City",28
"S01010446","Yoker North - 04","Glasgow City",26.2
"S01010447","Knightswood West - 01","Glasgow City",32.8
"S01010448","Knightswood West - 02","Glasgow City",21.5
"S01010449","Knightswood West - 03","Glasgow City",19.5
"S01010450","Knightswood East - 01","Glasgow City",17
"S01010451","Knightswood East - 02","Glasgow City",45.2
"S01010452","Knightswood East - 03","Glasgow City",29.7
"S01010453","Knightswood East - 04","Glasgow City",64.1
"S01010454","Knightswood East - 05","Glasgow City",29.7
"S01010455","Knightswood Park West - 01","Glasgow City",38.2
"S01010456","Knightswood Park West - 02","Glasgow City",13.5
"S01010457","Knightswood Park West - 03","Glasgow City",13.7
"S01010458","Knightswood Park West - 04","Glasgow City",33.8
"S01010459","Knightswood Park West - 05","Glasgow City",6.9
"S01010460","Knightswood Park East - 01","Glasgow City",6.4
"S01010461","Knightswood Park East - 02","Glasgow City",31.2
"S01010462","Knightswood Park East - 03","Glasgow City",62
"S01010463","Knightswood Park East - 04","Glasgow City",6.9
"S01010464","Knightswood Park East - 05","Glasgow City",11.9
"S01010465","Anniesland East - 01","Glasgow City",18.4
"S01010466","Anniesland East - 02","Glasgow City",10.8
"S01010467","Anniesland East - 03","Glasgow City",23.3
"S01010468","Anniesland East - 04","Glasgow City",10.3
"S01010469","Anniesland East - 05","Glasgow City",20
"S01010470","Anniesland West - 01","Glasgow City",9.5
"S01010471","Anniesland West - 02","Glasgow City",27.7
"S01010472","Anniesland West - 03","Glasgow City",36.2
"S01010473","Anniesland West - 04","Glasgow City",26.4
"S01010474","Anniesland West - 05","Glasgow City",13.9
"S01010475","Anniesland West - 06","Glasgow City",16.7
"S01010476","Anniesland West - 07","Glasgow City",16.9
"S01010477","Anniesland West - 08","Glasgow City",11.9
"S01010478","Blairdardie East - 01","Glasgow City",24.8
"S01010479","Blairdardie East - 02","Glasgow City",24.6
"S01010480","Blairdardie East - 03","Glasgow City",18.3
"S01010481","Blairdardie East - 04","Glasgow City",55.5
"S01010482","Blairdardie East - 05","Glasgow City",16.2
"S01010483","Blairdardie East - 06","Glasgow City",29
"S01010484","Blairdardie East - 07","Glasgow City",41.3
"S01010485","Blairdardie West - 01","Glasgow City",14.1
"S01010486","Blairdardie West - 02","Glasgow City",8
"S01010487","Blairdardie West - 03","Glasgow City",17.7
"S01010488","Drumchapel South - 01","Glasgow City",44.5
"S01010489","Drumchapel South - 02","Glasgow City",29.3
"S01010490","Drumchapel South - 03","Glasgow City",44.1
"S01010491","Drumchapel North - 01","Glasgow City",37.5
"S01010492","Drumchapel North - 02","Glasgow City",60.3
"S01010493","Drumchapel North - 03","Glasgow City",48.7
"S01010494","Drumchapel North - 04","Glasgow City",50.4
"S01010495","Drumchapel North - 05","Glasgow City",53.4
"S01010496","Drumry East - 01","Glasgow City",37
"S01010497","Drumry East - 02","Glasgow City",41.5
"S01010498","Drumry East - 03","Glasgow City",40
"S01010499","Drumry East - 04","Glasgow City",38.5
"S01010500","Drumry West - 01","Glasgow City",32
"S01010501","Drumry West - 02","Glasgow City",30.4
"S01010502","Drumry West - 03","Glasgow City",25.2
"S01010503","Drumry West - 04","Glasgow City",43.8
