"DataZone","Name","Council","% of children in poverty"
"S01009872","Kingston West and Dumbreck - 02","Glasgow City",69.7
"S01009873","Kingston West and Dumbreck - 03","Glasgow City",21.9
"S01009874","Kingston West and Dumbreck - 04","Glasgow City",24
"S01009875","Pollokshields West - 01","Glasgow City",53.8
"S01009876","Pollokshields West - 02","Glasgow City",61.8
"S01009877","Pollokshields West - 03","Glasgow City",18.6
"S01009878","Pollokshields West - 04","Glasgow City",65.8
"S01009879","Pollokshields West - 05","Glasgow City",7.8
"S01009880","Pollokshields West - 06","Glasgow City",48.6
"S01009881","Pollokshields East - 01","Glasgow City",52.8
"S01009882","Pollokshields East - 02","Glasgow City",42.6
"S01009883","Pollokshields East - 03","Glasgow City",54.3
"S01009884","Pollokshields East - 04","Glasgow City",64.6
"S01009885","Pollokshields East - 05","Glasgow City",42.2
"S01009886","Pollokshields East - 06","Glasgow City",47.3
"S01009887","Govanhill West - 01","Glasgow City",110
"S01009888","Govanhill West - 02","Glasgow City",70.6
"S01009889","Govanhill West - 03","Glasgow City",110.3
"S01009890","Govanhill West - 04","Glasgow City",63.7
"S01009891","Govanhill West - 05","Glasgow City",67.4
"S01009892","Govanhill West - 06","Glasgow City",83.7
"S01009893","Govanhill West - 07","Glasgow City",81.8
"S01009894","Govanhill East and Aikenhead - 01","Glasgow City",60.4
"S01009895","Govanhill East and Aikenhead - 02","Glasgow City",49
"S01009896","Govanhill East and Aikenhead - 03","Glasgow City",74
"S01009897","Govanhill East and Aikenhead - 04","Glasgow City",73.9
"S01009898","Govanhill East and Aikenhead - 05","Glasgow City",67.7
"S01009899","Battlefield - 01","Glasgow City",30
"S01009900","Battlefield - 02","Glasgow City",13.2
"S01009901","Battlefield - 03","Glasgow City",17.7
"S01009902","Battlefield - 04","Glasgow City",26.4
"S01009903","Battlefield - 05","Glasgow City",42.6
"S01009904","Battlefield - 06","Glasgow City",24.3
"S01009905","Strathbungo - 01","Glasgow City",76.6
"S01009906","Strathbungo - 02","Glasgow City",80.5
"S01009907","Strathbungo - 03","Glasgow City",91.7
"S01009908","Strathbungo - 04","Glasgow City",26.2
"S01009909","Strathbungo - 05","Glasgow City",21.2
"S01009910","Strathbungo - 06","Glasgow City",28.9
"S01009911","Strathbungo - 07","Glasgow City",6.7
"S01009912","Maxwell Park - 01","Glasgow City",12.8
"S01009913","Maxwell Park - 02","Glasgow City",23.2
"S01009914","Maxwell Park - 03","Glasgow City",15.7
"S01009915","Maxwell Park - 04","Glasgow City",25
"S01009916","Maxwell Park - 05","Glasgow City",22.4
"S01009917","Maxwell Park - 06","Glasgow City",8.1
"S01009918","Maxwell Park - 07","Glasgow City",27.6
"S01009919","Shawlands West - 01","Glasgow City",56.9
"S01009920","Shawlands West - 02","Glasgow City",28.6
"S01009921","Shawlands West - 03","Glasgow City",11.4
"S01009922","Shawlands West - 04","Glasgow City",9.5
"S01009923","Shawlands East - 01","Glasgow City",8.7
"S01009924","Shawlands East - 02","Glasgow City",27.6
"S01009925","Shawlands East - 03","Glasgow City",17.9
"S01009926","Shawlands East - 04","Glasgow City",40.4
"S01009927","Langside - 01","Glasgow City",17
"S01009928","Langside - 02","Glasgow City",0
"S01009929","Langside - 03","Glasgow City",10.2
"S01009930","Langside - 04","Glasgow City",12.3
"S01009931","Langside - 05","Glasgow City",25.5
"S01009932","Langside - 06","Glasgow City",13.3
"S01009933","Pollokshaws - 01","Glasgow City",48.1
